Data de Produção,Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs)
2023-06-15,2677271,IJ-130,15910,211,0,0,1,PC,FP75614/49,0.48
2023-06-15,2677271,IJ-130,15910,283,3,0,1,PC,FP75614/49,0.48
2023-06-15,2677271,IJ-130,15910,87,49,0,1,PC,FP75614/49,0.48
2023-06-16,2676773,IJ-130,15909,311,5,0,1,PC,FP75614/49,0.55
2023-06-16,2676773,IJ-130,15909,208,4,0,1,PC,FP75614/49,0.55
2023-06-16,2677271,IJ-130,15910,96,0,0,1,PC,FP75614/49,0.48
2023-06-18,2676773,IJ-130,15909,21,0,0,1,PC,FP75614/49,0.55
2023-06-18,2676773,IJ-130,15909,16,0,0,1,PC,FP75614/49,0.55
2023-06-18,2676773,IJ-130,15909,8,0,0,1,PC,FP75614/49,0.55
2023-06-19,2676773,IJ-130,15909,165,0,0,1,PC,FP75614/49,0.55
2023-06-19,2676773,IJ-130,15909,271,2,0,1,PC,FP75614/49,0.55
2023-06-20,2676773,IJ-130,15909,297,1,0,1,PC,FP75614/49,0.55
2023-06-20,2676773,IJ-130,15909,337,0,0,1,PC,FP75614/49,0.55
2023-06-21,2676773,IJ-130,15909,181,0,0,1,PC,FP75614/49,0.55
2023-06-21,2676773,IJ-130,15909,285,2,0,1,PC,FP75614/49,0.55
2023-06-21,2676773,IJ-130,15909,210,8,0,1,PC,FP75614/49,0.55
2023-06-22,2676773,IJ-130,15909,276,13,0,1,PC,FP75614/49,0.55
2023-06-22,2676773,IJ-130,15909,339,3,0,1,PC,FP75614/49,0.55
2023-06-23,2676773,IJ-130,15909,213,0,0,1,PC,FP75614/49,0.55
2023-06-23,2676773,IJ-130,15909,292,2,0,1,PC,FP75614/49,0.55
2023-06-23,2676773,IJ-130,15909,222,4,0,1,PC,FP75614/49,0.55
2023-06-24,2676773,IJ-130,15909,92,0,0,1,PC,FP75614/49,0.55
2023-06-25,2676773,IJ-130,15909,6,0,0,1,PC,FP75614/49,0.55
2023-06-25,2676773,IJ-130,15909,5,0,0,1,PC,FP75614/49,0.55
2023-06-26,2676773,IJ-130,15909,87,0,0,1,PC,FP75614/49,0.55
2023-06-26,2677271,IJ-130,15910,309,0,0,1,PC,FP75614/49,0.48
2023-06-26,2677271,IJ-130,15910,57,7,0,1,PC,FP75614/49,0.48
2023-06-27,2677271,IJ-130,15910,134,0,0,1,PC,FP75614/49,0.48
2023-06-27,2677271,IJ-130,15910,224,4,0,1,PC,FP75614/49,0.48
2023-06-27,2677271,IJ-130,15910,290,64,0,1,PC,FP75614/49,0.48
2023-06-28,2677271,IJ-130,15910,77,0,0,1,PC,FP75614/49,0.48
2023-06-28,2677271,IJ-130,15910,176,3,0,1,PC,FP75614/49,0.48
2023-06-29,2677271,IJ-130,15910,97,45,0,1,PC,FP75614/49,0.48
2023-07-03,2676773,IJ-130,15909,228,0,0,1,PC,FP75614/49,0.55
2023-07-03,2676773,IJ-130,15909,183,15,0,1,PC,FP75614/49,0.55
2023-07-03,2676773,IJ-130,15909,1,0,0,1,PC,FP75614/49,0.55
2023-07-03,2677271,IJ-130,15910,21,0,0,1,PC,FP75614/49,0.48
2023-07-04,2676773,IJ-130,15909,229,0,0,1,PC,FP75614/49,0.55
2023-07-04,2676773,IJ-130,15909,146,12,0,1,PC,FP75614/49,0.55
2023-07-04,2676773,IJ-130,15909,345,10,0,1,PC,FP75614/49,0.55
2023-07-05,2676773,IJ-130,15909,105,17,0,1,PC,FP75614/49,0.55
2023-07-05,2678562,IJ-130,15909,225,0,0,1,PC,FP75614/49,0.55
2023-07-05,2678562,IJ-130,15909,308,0,0,1,PC,FP75614/49,0.55
2023-07-05,2678562,IJ-130,15909,159,2,0,1,PC,FP75614/49,0.55
2023-07-06,2678562,IJ-130,15909,267,0,0,1,PC,FP75614/49,0.55
2023-07-06,2678562,IJ-130,15909,224,0,0,1,PC,FP75614/49,0.55
2023-07-06,2678562,IJ-130,15909,352,2,0,1,PC,FP75614/49,0.55
2023-07-07,2678562,IJ-130,15909,217,0,0,1,PC,FP75614/49,0.55
2023-07-07,2678562,IJ-130,15909,171,7,0,1,PC,FP75614/49,0.55
2023-07-07,2678562,IJ-130,15909,411,6,0,1,PC,FP75614/49,0.55
