Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2669984,IJ-155,12484,41,0,0,1,PC,N-142/44,1.35,356
2669984,IJ-155,12484,28,0,0,1,PC,N-142/44,1.35,356
2669984,IJ-155,12484,2,0,0,1,PC,N-142/44,1.35,355
2669984,IJ-155,12484,-3,3,0,1,PC,N-142/44,1.35,355
2669984,IJ-155,12484,260,4,0,1,PC,N-142/44,1.35,354
2669984,IJ-155,12484,97,19,0,1,PC,N-142/44,1.35,354
2669984,IJ-155,12484,29,15,0,1,PC,N-142/44,1.35,353
2669984,IJ-155,12484,239,18,0,1,PC,N-142/44,1.35,353
2669984,IJ-155,12484,293,16,0,1,PC,N-142/44,1.35,353
2669984,IJ-155,12484,7,0,0,1,PC,N-142/44,1.35,352
2670832,IJ-155,SA02872,13,25,0,1,PC,F420/306,5.99,352
2670832,IJ-155,SA02872,63,0,0,1,PC,F420/306,5.99,351
2670832,IJ-155,SA02872,57,0,0,1,PC,F420/306,5.99,351
2670832,IJ-155,SA02872,217,0,0,1,PC,F420/306,5.99,351
2670832,IJ-155,SA02872,143,0,0,1,PC,F420/306,5.99,350
2670832,IJ-155,SA02872,58,12,0,1,PC,F420/306,5.99,349
2670832,IJ-155,SA02872,47,0,0,1,PC,F420/306,5.99,349
2670832,IJ-155,SA02872,64,0,0,1,PC,F420/306,5.99,349
2670832,IJ-155,SA02872,31,34,0,1,PC,F420/306,5.99,348
2672603,IJ-155,17395,136,2,0,1,PC,N144/83,1.35,348
2672603,IJ-155,17395,233,5,0,1,PC,N144/83,1.35,348
2672603,IJ-155,17395,10,0,0,1,PC,N144/83,1.35,348
2672603,IJ-155,17395,357,27,0,1,PC,N144/83,1.35,348
2667780,IJ-155,15841,5,0,0,1,PC,F420/134,1.543,347
2672564,IJ-155,15984,62,22,0,1,PC,F420/134,1.543,347
2672603,IJ-155,17395,68,17,0,1,PC,N144/83,1.35,347
2672564,IJ-155,15984,259,0,0,1,PC,F420/134,1.543,346
2672564,IJ-155,15984,242,23,0,1,PC,F420/134,1.543,346
2672564,IJ-155,15984,205,9,0,1,PC,F420/134,1.543,345
2672564,IJ-155,15984,254,16,0,1,PC,F420/134,1.543,345
2673213,IJ-155,SA02794,162,9,0,1,PC,F403/32,0.51,345
2673213,IJ-155,SA02794,97,7,0,1,PC,F403/32,0.51,345
2673213,IJ-155,SA02794,39,0,0,1,PC,F403/32,0.51,344
2672506,IJ-155,15910,16,0,0,1,PC,FP75614/49,0.48,341
2672506,IJ-155,15910,197,0,0,1,PC,FP75614/49,0.48,341
2672506,IJ-155,15910,174,0,0,1,PC,FP75614/49,0.48,341
2673213,IJ-155,SA02794,77,0,0,1,PC,F403/32,0.51,341
2672506,IJ-155,15910,11,0,0,1,PC,FP75614/49,0.48,340
2672506,IJ-155,15910,42,0,0,1,PC,FP75614/49,0.48,340
2672506,IJ-155,15910,26,0,0,1,PC,FP75614/49,0.48,340
2672506,IJ-155,15910,135,0,0,1,PC,FP75614/49,0.48,339
2672506,IJ-155,15910,258,3,0,1,PC,FP75614/49,0.48,339
2672506,IJ-155,15910,322,35,0,1,PC,FP75614/49,0.48,339
2672506,IJ-155,15910,13,0,0,1,PC,FP75614/49,0.48,338
2672506,IJ-155,15910,264,0,0,1,PC,FP75614/49,0.48,338
2672504,IJ-155,15911,111,0,0,1,PC,FP75614/56,1.895,338
2672504,IJ-155,15911,82,1,0,1,PC,FP75614/56,1.895,338
2672504,IJ-155,15911,172,0,0,1,PC,FP75614/56,1.895,337
2672504,IJ-155,15911,9,0,0,1,PC,FP75614/56,1.895,335
2672507,IJ-155,15909,107,0,0,1,PC,FP75614/49,0.55,334
2672507,IJ-155,15909,90,3,0,1,PC,FP75614/49,0.55,334
2672504,IJ-155,15911,127,4,0,1,PC,FP75614/56,1.895,334
2672504,IJ-155,15911,349,0,0,1,PC,FP75614/56,1.895,334
2672507,IJ-155,15909,217,0,0,1,PC,FP75614/49,0.55,333
2672507,IJ-155,15909,224,3,0,1,PC,FP75614/49,0.55,333
2672507,IJ-155,15909,33,0,0,1,PC,FP75614/49,0.55,333
2672507,IJ-155,15909,197,0,0,1,PC,FP75614/49,0.55,332
2672507,IJ-155,15909,252,3,0,1,PC,FP75614/49,0.55,332
2672507,IJ-155,15909,358,0,0,1,PC,FP75614/49,0.55,332
2672507,IJ-155,15909,114,3,0,1,PC,FP75614/49,0.55,331
2672507,IJ-155,15909,318,34,0,1,PC,FP75614/49,0.55,331
2672506,IJ-155,15910,123,0,0,1,PC,FP75614/49,0.48,331
2672506,IJ-155,15910,19,9,0,1,PC,FP75614/49,0.48,331
2672506,IJ-155,15910,85,7,0,1,PC,FP75614/49,0.48,330
2672506,IJ-155,15910,261,15,0,1,PC,FP75614/49,0.48,330
2672506,IJ-155,15910,226,0,0,1,PC,FP75614/49,0.48,329
2672506,IJ-155,15910,110,0,0,1,PC,FP75614/49,0.48,328
2672506,IJ-155,15910,62,0,0,1,PC,FP75614/49,0.48,327
2672506,IJ-155,15910,139,22,0,1,PC,FP75614/49,0.48,327
2672506,IJ-155,15910,345,33,0,1,PC,FP75614/49,0.48,327
2672506,IJ-155,15910,168,0,0,1,PC,FP75614/49,0.48,326
2672506,IJ-155,15910,282,10,0,1,PC,FP75614/49,0.48,326
2672506,IJ-155,15910,169,23,0,1,PC,FP75614/49,0.48,326
2672507,IJ-155,15909,210,0,0,1,PC,FP75614/49,0.55,325
2672507,IJ-155,15909,205,3,0,1,PC,FP75614/49,0.55,325
2672506,IJ-155,15910,190,2,0,1,PC,FP75614/49,0.48,325
2672507,IJ-155,15909,209,0,0,1,PC,FP75614/49,0.55,324
2672507,IJ-155,15909,296,11,0,1,PC,FP75614/49,0.55,324
2672507,IJ-155,15909,225,5,0,1,PC,FP75614/49,0.55,324
2672507,IJ-155,15909,204,0,0,1,PC,FP75614/49,0.55,323
2672507,IJ-155,15909,298,2,0,1,PC,FP75614/49,0.55,323
2672507,IJ-155,15909,279,9,0,1,PC,FP75614/49,0.55,323
2672507,IJ-155,15909,4,0,0,1,PC,FP75614/49,0.55,319
2674527,IJ-155,15909,188,0,0,1,PC,FP75614/49,0.55,318
2674527,IJ-155,15909,301,1,0,1,PC,FP75614/49,0.55,318
2674527,IJ-155,15909,1,0,0,1,PC,FP75614/49,0.55,318
2674934,IJ-155,15910,7,0,0,1,PC,FP75614/49,0.48,318
2674934,IJ-155,15910,150,2,0,1,PC,FP75614/49,0.48,318
2674527,IJ-155,15909,4,0,0,1,PC,FP75614/49,0.55,317
2674527,IJ-155,15909,236,13,0,1,PC,FP75614/49,0.55,317
2674526,IJ-155,15911,90,0,0,1,PC,FP75614/56,1.895,317
2674526,IJ-155,15911,95,24,0,1,PC,FP75614/56,1.895,317
2674527,IJ-155,15909,212,0,0,1,PC,FP75614/49,0.55,316
2674527,IJ-155,15909,157,1,0,1,PC,FP75614/49,0.55,316
2674527,IJ-155,15909,74,0,0,1,PC,FP75614/49,0.55,316
2674526,IJ-155,15911,3,0,0,1,PC,FP75614/56,1.895,316
2674526,IJ-155,15911,193,8,0,1,PC,FP75614/56,1.895,316
2674527,IJ-155,15909,232,11,0,1,PC,FP75614/49,0.55,315
2674527,IJ-155,15909,140,0,0,1,PC,FP75614/49,0.55,314
2674527,IJ-155,15909,206,0,0,1,PC,FP75614/49,0.55,313
2674527,IJ-155,15909,124,21,0,1,PC,FP75614/49,0.55,313
2674527,IJ-155,15909,342,11,0,1,PC,FP75614/49,0.55,313
2674527,IJ-155,15909,42,0,0,1,PC,FP75614/49,0.55,312
2674527,IJ-155,15909,238,22,0,1,PC,FP75614/49,0.55,312
2674527,IJ-155,15909,245,12,0,1,PC,FP75614/49,0.55,312
2674527,IJ-155,15909,50,0,0,1,PC,FP75614/49,0.55,311
2674527,IJ-155,15909,91,7,0,1,PC,FP75614/49,0.55,311
2674527,IJ-155,15909,260,0,0,1,PC,FP75614/49,0.55,310
2674527,IJ-155,15909,119,9,0,1,PC,FP75614/49,0.55,310
2674527,IJ-155,15909,94,4,0,1,PC,FP75614/49,0.55,310
2674527,IJ-155,15909,8,0,0,1,PC,FP75614/49,0.55,309
2674527,IJ-155,15909,386,43,0,1,PC,FP75614/49,0.55,309
2674934,IJ-155,15910,130,0,0,1,PC,FP75614/49,0.48,309
2674934,IJ-155,15910,82,0,0,1,PC,FP75614/49,0.48,309
2674934,IJ-155,15910,16,0,0,1,PC,FP75614/49,0.48,309
2674934,IJ-155,15910,198,48,0,1,PC,FP75614/49,0.48,308
2674934,IJ-155,15910,208,0,0,1,PC,FP75614/49,0.48,306
2674934,IJ-155,15910,194,26,0,1,PC,FP75614/49,0.48,306
2674934,IJ-155,15910,328,24,0,1,PC,FP75614/49,0.48,306
2674934,IJ-155,15910,144,4,0,1,PC,FP75614/49,0.48,305
2674934,IJ-155,15910,326,33,0,1,PC,FP75614/49,0.48,305
2674934,IJ-155,15910,17,0,0,1,PC,FP75614/49,0.48,304
2674934,IJ-155,15910,45,0,0,1,PC,FP75614/49,0.48,304
2674934,IJ-155,15910,108,0,0,1,PC,FP75614/49,0.48,303
2674934,IJ-155,15910,93,10,0,1,PC,FP75614/49,0.48,303
2674934,IJ-155,15910,31,0,0,1,PC,FP75614/49,0.48,302
2674934,IJ-155,15910,220,0,0,1,PC,FP75614/49,0.48,302
2674527,IJ-155,15909,235,3,0,1,PC,FP75614/49,0.55,301
2674934,IJ-155,15910,22,0,0,1,PC,FP75614/49,0.48,301
2674527,IJ-155,15909,162,0,0,1,PC,FP75614/49,0.55,300
2674527,IJ-155,15909,2,0,0,1,PC,FP75614/49,0.55,299
2674527,IJ-155,15909,301,15,0,1,PC,FP75614/49,0.55,299
2674934,IJ-155,15910,172,0,0,1,PC,FP75614/49,0.48,299
2674934,IJ-155,15910,185,2,0,1,PC,FP75614/49,0.48,299
2674934,IJ-155,15910,87,2,0,1,PC,FP75614/49,0.48,298
2674934,IJ-155,15910,210,31,0,1,PC,FP75614/49,0.48,298
2674527,IJ-155,15909,69,7,0,1,PC,FP75614/49,0.55,297
2674527,IJ-155,15909,1,0,0,1,PC,FP75614/49,0.55,297
2674934,IJ-155,15910,2,0,0,1,PC,FP75614/49,0.48,297
2674934,IJ-155,15910,184,12,0,1,PC,FP75614/49,0.48,297
2674527,IJ-155,15909,18,0,0,1,PC,FP75614/49,0.55,296
2674527,IJ-155,15909,272,17,0,1,PC,FP75614/49,0.55,296
2674527,IJ-155,15909,46,10,0,1,PC,FP75614/49,0.55,296
2674527,IJ-155,15909,173,0,0,1,PC,FP75614/49,0.55,295
2674527,IJ-155,15909,220,4,0,1,PC,FP75614/49,0.55,295
2674527,IJ-155,15909,202,0,0,1,PC,FP75614/49,0.55,295
2674527,IJ-155,15909,54,0,0,1,PC,FP75614/49,0.55,294
2674527,IJ-155,15909,394,0,0,1,PC,FP75614/49,0.55,292
2674527,IJ-155,15909,138,4,0,1,PC,FP75614/49,0.55,292
2674527,IJ-155,15909,168,0,0,1,PC,FP75614/49,0.55,292
2674527,IJ-155,15909,1,0,0,1,PC,FP75614/49,0.55,291
2674527,IJ-155,15909,282,4,0,1,PC,FP75614/49,0.55,291
2674527,IJ-155,15909,240,0,0,1,PC,FP75614/49,0.55,291
2674527,IJ-155,15909,193,0,0,1,PC,FP75614/49,0.55,290
2674527,IJ-155,15909,315,14,0,1,PC,FP75614/49,0.55,290
2674527,IJ-155,15909,540,0,0,1,PC,FP75614/49,0.55,290
2674527,IJ-155,15909,222,0,0,1,PC,FP75614/49,0.55,289
2674527,IJ-155,15909,303,5,0,1,PC,FP75614/49,0.55,289
2674527,IJ-155,15909,343,12,0,1,PC,FP75614/49,0.55,289
2674527,IJ-155,15909,209,0,0,1,PC,FP75614/49,0.55,288
2674527,IJ-155,15909,345,6,0,1,PC,FP75614/49,0.55,288
2674527,IJ-155,15909,377,3,0,1,PC,FP75614/49,0.55,288
2674527,IJ-155,15909,195,27,0,1,PC,FP75614/49,0.55,287
2674527,IJ-155,15909,89,0,0,1,PC,FP75614/49,0.55,286
2674527,IJ-155,15909,23,0,0,1,PC,FP75614/49,0.55,285
2674527,IJ-155,15909,342,13,0,1,PC,FP75614/49,0.55,285
2674934,IJ-155,15910,97,0,0,1,PC,FP75614/49,0.48,285
2674934,IJ-155,15910,78,3,0,1,PC,FP75614/49,0.48,285
2674934,IJ-155,15910,8,0,0,1,PC,FP75614/49,0.48,284
2677271,IJ-155,15910,321,9,0,1,PC,FP75614/49,0.48,284
2677271,IJ-155,15910,174,3,0,1,PC,FP75614/49,0.48,284
2677271,IJ-155,15910,237,12,0,1,PC,FP75614/49,0.48,283
2677271,IJ-155,15910,5,0,0,1,PC,FP75614/49,0.48,283
2677271,IJ-155,15910,232,3,0,1,PC,FP75614/49,0.48,283
2677271,IJ-155,15910,72,1,0,1,PC,FP75614/49,0.48,283
2676773,IJ-155,15909,293,17,0,1,PC,FP75614/49,0.55,282
2676773,IJ-155,15909,70,2,0,1,PC,FP75614/49,0.55,282
2677271,IJ-155,15910,168,3,0,1,PC,FP75614/49,0.48,282
2676773,IJ-155,15909,181,0,0,1,PC,FP75614/49,0.55,281
2676773,IJ-155,15909,279,11,0,1,PC,FP75614/49,0.55,281
2676773,IJ-155,15909,299,0,0,1,PC,FP75614/49,0.55,277
2676773,IJ-155,15909,242,0,0,1,PC,FP75614/49,0.55,277
