Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2677271,IJ-130,15910,581,52,0,3,PC,FP75614/49,1.44,338
2676773,IJ-130,15909,615,9,0,3,PC,FP75614/49,1.58,337
2676773,IJ-130,15909,45,0,0,3,PC,FP75614/49,1.6500000000000001,335
2676773,IJ-130,15909,436,2,0,2,PC,FP75614/49,1.1,334
2676773,IJ-130,15909,634,1,0,2,PC,FP75614/49,1.1,333
2676773,IJ-130,15909,676,10,0,3,PC,FP75614/49,1.6500000000000001,332
2676773,IJ-130,15909,615,16,0,2,PC,FP75614/49,1.1,331
2676773,IJ-130,15909,727,6,0,3,PC,FP75614/49,1.6500000000000001,330
2676773,IJ-130,15909,92,0,0,1,PC,FP75614/49,0.55,329
2676773,IJ-130,15909,11,0,0,2,PC,FP75614/49,1.1,328
2676773,IJ-130,15909,453,7,0,3,PC,FP75614/49,1.51,327
2677271,IJ-130,15910,648,68,0,3,PC,FP75614/49,1.44,326
2677271,IJ-130,15910,253,3,0,2,PC,FP75614/49,0.96,325
2677271,IJ-130,15910,97,45,0,1,PC,FP75614/49,0.48,324
2676773,IJ-130,15909,433,15,0,4,PC,FP75614/49,2.13,320
2676773,IJ-130,15909,720,22,0,3,PC,FP75614/49,1.6500000000000001,319
2676773,IJ-130,15909,797,19,0,4,PC,FP75614/49,2.2,318
2678562,IJ-130,15909,843,2,0,3,PC,FP75614/49,1.6500000000000001,317
2678562,IJ-130,15909,799,13,0,3,PC,FP75614/49,1.6500000000000001,316
2678562,IJ-130,15909,186,0,0,1,PC,FP75614/49,0.55,314
2678562,IJ-130,15909,767,14,0,3,PC,FP75614/49,1.6500000000000001,313
2678564,IJ-130,15910,498,29,0,4,PC,FP75614/49,1.99,312
2678564,IJ-130,15910,393,39,0,2,PC,FP75614/49,0.96,311
2678564,IJ-130,15910,231,5,0,1,PC,FP75614/49,0.48,310
2678564,IJ-130,15910,209,10,0,2,PC,FP75614/49,0.96,306
2678564,IJ-130,15910,577,5,0,2,PC,FP75614/49,0.96,305
2678564,IJ-130,15910,298,12,0,2,PC,FP75614/49,0.96,304
