Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2668613,IJ-120,SA07023,618,1,0,4,PC,N148/18,1.96,618,1,0,4,1.96,376
2669068,IJ-120,SA07380,1493,60,0,4,PC,N148/18,1.2349999999999999,2111,61,0,8,3.195,375
2669206,IJ-120,SA13359,1142,6,0,3,PC,N146/9,1.415,3253,67,0,11,4.609999999999999,374
2667834,IJ-120,SA08385,708,19,0,6,PC,N-142/67,18.46,3961,86,0,17,23.07,372
2667834,IJ-120,SA08385,985,18,0,2,PC,N-142/67,9.86,4946,104,0,19,32.93,371
2667834,IJ-120,SA08385,258,48,0,3,PC,N-142/67,14.79,5204,152,0,22,47.72,370
2667834,IJ-120,SA08385,450,33,0,2,PC,N-142/67,9.86,5654,185,0,24,57.58,369
2669424,IJ-120,SA07312,277,0,0,3,PC,N-142/67,8.219999999999999,5931,185,0,27,65.8,368
2654934,IJ-120,SA08385,1365,11,0,3,PC,N-142/67,14.79,7296,196,0,30,80.59,367
2654934,IJ-120,SA08385,747,7,0,5,PC,N-142/67,13.508,8043,203,0,35,94.098,366
2669684,IJ-120,SA07321,1180,32,0,5,PC,N148/18,8.54,9223,235,0,40,102.638,365
2669684,IJ-120,SA07321,278,9,0,2,PC,N148/18,3.8,9501,244,0,42,106.438,363
2669684,IJ-120,SA07321,1169,20,0,3,PC,N148/18,5.699999999999999,10670,264,0,45,112.138,362
2667995,IJ-120,SA08399,579,62,0,5,PC,N-142/67,10.532,11249,326,0,50,122.67,361
2667995,IJ-120,SA08399,1409,40,0,3,PC,N-142/67,5.43,12658,366,0,53,128.1,360
2670173,IJ-120,SA05058,1371,54,0,4,PC,N148/18,1.36,14029,420,0,57,129.46,359
2670173,IJ-120,SA05058,1060,46,0,5,PC,N148/18,3.84,15089,466,0,62,133.3,358
2670657,IJ-120,SA07686,261,14,0,2,PC,N-142/67,2.295,15350,480,0,64,135.595,356
2670616,IJ-120,SA02262,1125,52,0,4,PC,N148/18,2.98,16475,532,0,68,138.575,355
2670616,IJ-120,SA02262,742,52,0,2,PC,N148/18,1.04,17217,584,0,70,139.61499999999998,354
2670616,IJ-120,SA02262,900,44,0,5,PC,N148/18,2.6,18117,628,0,75,142.21499999999997,353
2670616,IJ-120,SA02262,1354,56,0,3,PC,N148/18,1.56,19471,684,0,78,143.77499999999998,352
2670616,IJ-120,SA02262,1368,13,0,5,PC,N148/18,6.667999999999999,20839,697,0,83,150.44299999999998,351
2671127,IJ-120,SA10498,255,5,0,2,PC,N148/18,3.074,21094,702,0,85,153.517,349
