Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2696936,IJ-136,15911,94,9,0,1,PC,FP75614/49,1.895,-16
2696936,IJ-136,15911,50,0,0,1,PC,FP75614/49,1.895,-13
2696936,IJ-136,15911,293,0,0,1,PC,FP75614/49,1.895,-13
2696936,IJ-136,15911,252,18,0,1,PC,FP75614/49,1.895,-13
2696936,IJ-136,15911,163,0,0,1,PC,FP75614/49,1.895,-12
2696936,IJ-136,15911,239,9,0,1,PC,FP75614/49,1.895,-12
2696936,IJ-136,15911,194,0,0,1,PC,FP75614/49,1.895,-11
2696936,IJ-136,15911,268,0,0,1,PC,FP75614/49,1.895,-11
2696936,IJ-136,15911,278,21,0,1,PC,FP75614/49,1.895,-11
2696936,IJ-136,15911,119,0,0,1,PC,FP75614/49,1.895,-10
2696936,IJ-136,15911,277,0,0,1,PC,FP75614/49,1.895,-10
2696936,IJ-136,15911,283,6,0,1,PC,FP75614/49,1.895,-10
2696936,IJ-136,15911,272,0,0,1,PC,FP75614/49,1.895,-9
2696936,IJ-136,15911,295,12,0,1,PC,FP75614/49,1.895,-9
2699231,IJ-136,15909,133,0,0,1,PC,FP75614/49,0.55,-48
2699231,IJ-136,15909,336,0,0,1,PC,FP75614/49,0.55,-48
2699231,IJ-136,15909,328,0,0,1,PC,FP75614/49,0.55,-47
2699231,IJ-136,15909,209,3,0,1,PC,FP75614/49,0.55,-47
2699231,IJ-136,15909,274,0,0,1,PC,FP75614/49,0.55,-46
2699231,IJ-136,15909,78,13,0,1,PC,FP75614/49,0.55,-46
2699231,IJ-136,15909,185,0,0,1,PC,FP75614/49,0.55,-45
2699231,IJ-136,15909,304,4,0,1,PC,FP75614/49,0.55,-39
2699231,IJ-136,15909,321,0,0,1,PC,FP75614/49,0.55,-38
2699231,IJ-136,15909,326,2,0,1,PC,FP75614/49,0.55,-38
2699231,IJ-136,15909,288,0,0,1,PC,FP75614/49,0.55,-37
2699231,IJ-136,15909,185,3,0,1,PC,FP75614/49,0.55,-37
2699231,IJ-136,15909,322,0,0,1,PC,FP75614/49,0.55,-34
2699231,IJ-136,15909,301,0,0,1,PC,FP75614/49,0.55,-34
2699231,IJ-136,15909,320,0,0,1,PC,FP75614/49,0.55,-33
2699231,IJ-136,15909,319,4,0,1,PC,FP75614/49,0.55,-33
2699231,IJ-136,15909,134,0,0,1,PC,FP75614/49,0.55,-32
2699231,IJ-136,15909,1,0,0,1,PC,FP75614/49,0.55,-32
2699233,IJ-136,15911,157,0,0,1,PC,FP75614/49,1.895,-32
2699233,IJ-136,15911,43,0,0,1,PC,FP75614/49,1.895,-31
2699233,IJ-136,15911,168,9,0,1,PC,FP75614/49,1.895,-30
2699233,IJ-136,15911,111,0,0,1,PC,FP75614/49,1.895,-28
2699233,IJ-136,15911,219,9,0,1,PC,FP75614/49,1.895,-20
2699233,IJ-136,15911,232,7,0,1,PC,FP75614/49,1.895,-28
2699233,IJ-136,15911,291,0,0,1,PC,FP75614/49,1.895,-27
2699233,IJ-136,15911,309,0,0,1,PC,FP75614/49,1.895,-27
2699233,IJ-136,15911,244,0,0,1,PC,FP75614/49,1.895,-26
2699233,IJ-136,15911,234,10,0,1,PC,FP75614/49,1.895,-26
2699233,IJ-136,15911,275,0,0,1,PC,FP75614/49,1.895,-25
2699233,IJ-136,15911,259,4,0,1,PC,FP75614/49,1.895,-25
2699233,IJ-136,15911,294,0,0,1,PC,FP75614/49,1.895,-24
2699233,IJ-136,15911,291,5,0,1,PC,FP75614/49,1.895,-24
2699233,IJ-136,15911,279,0,0,1,PC,FP75614/49,1.895,-23
2699233,IJ-136,15911,281,7,0,1,PC,FP75614/49,1.895,-23
2699233,IJ-136,15911,164,0,0,1,PC,FP75614/49,1.895,-16
2699233,IJ-136,15911,148,1,0,1,PC,FP75614/49,1.895,-16
2699233,IJ-136,15911,277,0,0,1,PC,FP75614/49,1.895,-19
2699233,IJ-136,15911,158,0,0,1,PC,FP75614/49,1.895,-19
2699233,IJ-136,15911,277,0,0,1,PC,FP75614/49,1.895,-18
2699233,IJ-136,15911,308,2,0,1,PC,FP75614/49,1.895,-18
2699233,IJ-136,15911,47,0,0,1,PC,FP75614/49,1.895,-17
2699233,IJ-136,15911,245,0,0,1,PC,FP75614/49,1.895,-17
2699233,IJ-136,15911,111,10,0,1,PC,FP75614/49,1.895,-17
2699233,IJ-136,15911,181,0,0,1,PC,FP75614/49,1.895,-17
2701100,IJ-136,15911,147,0,0,1,PC,FP75614/49,1.895,-75
2701100,IJ-136,15911,195,0,0,1,PC,FP75614/49,1.895,-74
2701100,IJ-136,15911,272,0,0,1,PC,FP75614/49,1.895,-74
2701100,IJ-136,15911,156,2,0,1,PC,FP75614/49,1.895,-74
2701100,IJ-136,15911,148,0,0,1,PC,FP75614/49,1.895,-73
2701100,IJ-136,15911,257,0,0,1,PC,FP75614/49,1.895,-73
2701100,IJ-136,15911,305,13,0,1,PC,FP75614/49,1.895,-73
2701100,IJ-136,15911,299,0,0,1,PC,FP75614/49,1.895,-72
2701100,IJ-136,15911,306,4,0,1,PC,FP75614/49,1.895,-72
2701100,IJ-136,15911,218,0,0,1,PC,FP75614/49,1.895,-70
2701100,IJ-136,15911,166,4,0,1,PC,FP75614/49,1.895,-70
2701100,IJ-136,15911,269,0,0,1,PC,FP75614/49,1.895,-69
2701100,IJ-136,15911,309,8,0,1,PC,FP75614/49,1.895,-69
2701100,IJ-136,15911,265,0,0,1,PC,FP75614/49,1.895,-68
2701100,IJ-136,15911,309,5,0,1,PC,FP75614/49,1.895,-68
2701100,IJ-136,15911,261,0,0,1,PC,FP75614/49,1.895,-67
2701100,IJ-136,15911,285,1,0,1,PC,FP75614/49,1.895,-67
2701100,IJ-136,15911,268,0,0,1,PC,FP75614/49,1.895,-66
2701100,IJ-136,15911,384,1,0,1,PC,FP75614/49,1.895,-66
2701100,IJ-136,15911,203,0,0,1,PC,FP75614/49,1.895,-65
2701100,IJ-136,15911,267,5,0,1,PC,FP75614/49,1.895,-65
2701100,IJ-136,15911,201,0,0,1,PC,FP75614/49,1.895,-63
2701100,IJ-136,15911,232,0,0,1,PC,FP75614/49,1.895,-63
2701100,IJ-136,15911,282,0,0,1,PC,FP75614/49,1.895,-62
2701100,IJ-136,15911,288,1,0,1,PC,FP75614/49,1.895,-62
2701100,IJ-136,15911,227,0,0,1,PC,FP75614/49,1.895,-61
2701100,IJ-136,15911,51,0,0,1,PC,FP75614/49,1.895,-61
2701100,IJ-136,15911,290,5,0,1,PC,FP75614/49,1.895,-61
2701100,IJ-136,15911,309,0,0,1,PC,FP75614/49,1.895,-60
2701100,IJ-136,15911,121,0,0,1,PC,FP75614/49,1.895,-60
2701100,IJ-136,15911,214,14,0,1,PC,FP75614/49,1.895,-58
2701100,IJ-136,15911,168,0,0,1,PC,FP75614/49,1.895,-56
2701100,IJ-136,15911,231,3,0,1,PC,FP75614/49,1.895,-56
2701100,IJ-136,15911,281,0,0,1,PC,FP75614/49,1.895,-55
2701100,IJ-136,15911,290,5,0,1,PC,FP75614/49,1.895,-55
2701100,IJ-136,15911,278,0,0,1,PC,FP75614/49,1.895,-54
2701100,IJ-136,15911,120,19,0,1,PC,FP75614/49,1.895,-54
2701100,IJ-136,15911,282,0,0,1,PC,FP75614/49,1.895,-53
2701100,IJ-136,15911,273,13,0,1,PC,FP75614/49,1.895,-53
2701100,IJ-136,15911,186,0,0,1,PC,FP75614/49,1.895,-52
2701100,IJ-136,15911,251,5,0,1,PC,FP75614/49,1.895,-52
2701100,IJ-136,15911,155,0,0,1,PC,FP75614/49,1.895,-51
2701100,IJ-136,15911,275,0,0,1,PC,FP75614/49,1.895,-51
2701100,IJ-136,15911,261,35,0,1,PC,FP75614/49,1.895,-51
2701100,IJ-136,15911,112,0,0,1,PC,FP75614/49,1.895,-50
2701100,IJ-136,15911,201,0,0,1,PC,FP75614/49,1.895,-49
2701100,IJ-136,15911,166,28,0,1,PC,FP75614/49,1.895,-49
2701100,IJ-136,15911,86,0,0,1,PC,FP75614/49,1.895,-48
2701808,IJ-136,15910,161,13,0,1,PC,FP75614/49,0.48,-60
2701808,IJ-136,15910,312,0,0,1,PC,FP75614/49,0.48,-59
2701808,IJ-136,15910,268,0,0,1,PC,FP75614/49,0.48,-59
2701808,IJ-136,15910,59,0,0,1,PC,FP75614/49,0.48,-59
2701808,IJ-136,15910,188,0,0,1,PC,FP75614/49,0.48,-58
2701808,IJ-136,15910,217,0,0,1,PC,FP75614/49,0.48,-58
2703032,IJ-136,15911,28,0,0,1,PC,FP75614/49,1.895,-107
2703032,IJ-136,15911,130,0,0,1,PC,FP75614/49,1.895,-105
2703032,IJ-136,15911,229,2,0,1,PC,FP75614/49,1.895,-105
2703032,IJ-136,15911,191,0,0,1,PC,FP75614/49,1.895,-104
2703032,IJ-136,15911,263,0,0,1,PC,FP75614/49,1.895,-104
2703032,IJ-136,15911,276,24,0,1,PC,FP75614/49,1.895,-104
2703032,IJ-136,15911,68,0,0,1,PC,FP75614/49,1.895,-103
2703032,IJ-136,15911,224,0,0,1,PC,FP75614/49,1.895,-103
2703032,IJ-136,15911,306,6,0,1,PC,FP75614/49,1.895,-103
2703032,IJ-136,15911,14,0,0,1,PC,FP75614/49,1.895,-102
2703032,IJ-136,15911,145,0,0,1,PC,FP75614/49,1.895,-102
2703032,IJ-136,15911,250,14,0,1,PC,FP75614/49,1.895,-102
2703032,IJ-136,15911,189,0,0,1,PC,FP75614/49,1.895,-101
2703032,IJ-136,15911,308,0,0,1,PC,FP75614/49,1.895,-101
2703032,IJ-136,15911,311,10,0,1,PC,FP75614/49,1.895,-101
2703032,IJ-136,15911,194,0,0,1,PC,FP75614/49,1.895,-100
2703032,IJ-136,15911,271,0,0,1,PC,FP75614/49,1.895,-100
2703032,IJ-136,15911,141,37,0,1,PC,FP75614/49,1.895,-100
2703032,IJ-136,15911,176,0,0,1,PC,FP75614/49,1.895,-98
2703032,IJ-136,15911,196,14,0,1,PC,FP75614/49,1.895,-97
2703032,IJ-136,15911,133,0,0,1,PC,FP75614/49,1.895,-97
2703032,IJ-136,15911,14,0,0,1,PC,FP75614/49,1.895,-94
2703032,IJ-136,15911,74,0,0,1,PC,FP75614/49,1.895,-93
2703032,IJ-136,15911,190,15,0,1,PC,FP75614/49,1.895,-93
2703032,IJ-136,15911,172,0,0,1,PC,FP75614/49,1.895,-91
2703032,IJ-136,15911,263,0,0,1,PC,FP75614/49,1.895,-90
2703032,IJ-136,15911,225,14,0,1,PC,FP75614/49,1.895,-90
2703032,IJ-136,15911,159,0,0,1,PC,FP75614/49,1.895,-89
2703032,IJ-136,15911,259,36,0,1,PC,FP75614/49,1.895,-89
2703032,IJ-136,15911,85,0,0,1,PC,FP75614/49,1.895,-88
2703032,IJ-136,15911,225,1,0,1,PC,FP75614/49,1.895,-88
2703032,IJ-136,15911,268,0,0,1,PC,FP75614/49,1.895,-87
2703032,IJ-136,15911,257,0,0,1,PC,FP75614/49,1.895,-86
2703032,IJ-136,15911,182,9,0,1,PC,FP75614/49,1.895,-84
2703032,IJ-136,15911,286,0,0,1,PC,FP75614/49,1.895,-83
2703032,IJ-136,15911,285,11,0,1,PC,FP75614/49,1.895,-83
2703032,IJ-136,15911,186,0,0,1,PC,FP75614/49,1.895,-82
2703032,IJ-136,15911,15,0,0,1,PC,FP75614/49,1.895,-82
2703032,IJ-136,15911,198,2,0,1,PC,FP75614/49,1.895,-81
2703032,IJ-136,15911,90,6,0,1,PC,FP75614/49,1.895,-81
2703032,IJ-136,15911,285,0,0,1,PC,FP75614/49,1.895,-80
2703032,IJ-136,15911,298,5,0,1,PC,FP75614/49,1.895,-80
2703032,IJ-136,15911,34,0,0,1,PC,FP75614/49,1.895,-79
2703032,IJ-136,15911,200,33,0,1,PC,FP75614/49,1.895,-79
2703032,IJ-136,15911,197,0,0,1,PC,FP75614/49,1.895,-77
2703032,IJ-136,15911,227,6,0,1,PC,FP75614/49,1.895,-77
2703032,IJ-136,15911,151,0,0,1,PC,FP75614/49,1.895,-76
2703032,IJ-136,15911,293,0,0,1,PC,FP75614/49,1.895,-76
2703032,IJ-136,15911,265,19,0,1,PC,FP75614/49,1.895,-76
2703032,IJ-136,15911,131,0,0,1,PC,FP75614/49,1.895,-75
2703032,IJ-136,15911,296,1,0,1,PC,FP75614/49,1.895,-75
2703032,IJ-136,15911,133,16,0,1,PC,FP75614/49,1.895,-75
2703820,IJ-136,15910,135,2,0,1,PC,FP75614/49,0.48,-97
2703820,IJ-136,15910,207,0,0,1,PC,FP75614/49,0.48,-96
2703820,IJ-136,15910,303,0,0,1,PC,FP75614/49,0.48,-96
2703820,IJ-136,15910,178,0,0,1,PC,FP75614/49,0.48,-96
2703820,IJ-136,15910,55,0,0,1,PC,FP75614/49,0.48,-95
2703820,IJ-136,15910,171,0,0,1,PC,FP75614/49,0.48,-95
2703820,IJ-136,15910,305,14,0,1,PC,FP75614/49,0.48,-95
2703820,IJ-136,15910,209,0,0,1,PC,FP75614/49,0.48,-94
2703820,IJ-136,15910,261,0,0,1,PC,FP75614/49,0.48,-94
2703820,IJ-136,15910,83,15,0,1,PC,FP75614/49,0.48,-94
2705061,IJ-136,15909,42,0,0,1,PC,FP75614/49,0.55,-107
2705060,IJ-136,15911,43,0,0,1,PC,FP75614/49,1.895,-158
2705060,IJ-136,15911,10,0,0,1,PC,FP75614/49,1.895,-158
2705060,IJ-136,15911,1,0,0,1,PC,FP75614/49,1.895,-156
2705060,IJ-136,15911,33,0,0,1,PC,FP75614/49,1.895,-153
2705060,IJ-136,15911,118,0,0,1,PC,FP75614/49,1.895,-138
2705060,IJ-136,15911,254,0,0,1,PC,FP75614/49,1.895,-137
2705060,IJ-136,15911,235,0,0,1,PC,FP75614/49,1.895,-136
2705060,IJ-136,15911,185,1,0,1,PC,FP75614/49,1.895,-137
2705060,IJ-136,15911,277,0,0,1,PC,FP75614/49,1.895,-136
2705060,IJ-136,15911,246,12,0,1,PC,FP75614/49,1.895,-135
2705060,IJ-136,15911,306,0,0,1,PC,FP75614/49,1.895,-132
2705060,IJ-136,15911,327,0,0,1,PC,FP75614/49,1.895,-132
2705060,IJ-136,15911,263,0,0,1,PC,FP75614/49,1.895,-131
2705060,IJ-136,15911,215,21,0,1,PC,FP75614/49,1.895,-131
2705060,IJ-136,15911,236,0,0,1,PC,FP75614/49,1.895,-130
2705060,IJ-136,15911,81,0,0,1,PC,FP75614/49,1.895,-130
2705060,IJ-136,15911,290,13,0,1,PC,FP75614/49,1.895,-129
2705060,IJ-136,15911,275,0,0,1,PC,FP75614/49,1.895,-128
2705060,IJ-136,15911,2,0,0,1,PC,FP75614/49,1.895,-125
2705060,IJ-136,15911,282,5,0,1,PC,FP75614/49,1.895,-125
2705060,IJ-136,15911,316,0,0,1,PC,FP75614/49,1.895,-124
