Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2698616,IJ-137,SA05658,5084,156,0,20,PC,MASSA S315/1 DIAM CORDÃO 8MM SEM R 0345,1.9829999999999999,-71
2697088,IJ-137,SA05003,4456,0,0,24,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,2.25,-72
2697088,IJ-137,SA05003,4661,107,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-73
2697088,IJ-137,SA05003,4,0,0,4,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.339,-74
2697088,IJ-137,SA05003,5386,90,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-75
2697088,IJ-137,SA05003,2107,29,0,8,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.678,-76
2697088,IJ-137,SA05003,1308,0,0,4,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.339,-77
2697088,IJ-137,SA05003,5844,48,0,20,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.695,-78
2699182,IJ-137,SA05003,6517,135,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-79
2699182,IJ-137,SA05003,6733,175,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-80
2699182,IJ-137,SA05003,6764,148,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-81
2699500,IJ-137,SA05658,5471,61,0,24,PC,MASSA S315/1 DIAM CORDÃO 8MM SEM R 0345,2.322,-82
2699500,IJ-137,SA05658,1800,0,0,4,PC,MASSA S315/1 DIAM CORDÃO 8MM SEM R 0345,0.411,-83
2699500,IJ-137,SA05658,1216,0,0,8,PC,MASSA S315/1 DIAM CORDÃO 8MM SEM R 0345,0.822,-84
2699500,IJ-137,SA05658,5489,199,0,12,PC,MASSA S315/1 DIAM CORDÃO 8MM SEM R 0345,1.2329999999999999,-85
2699500,IJ-137,SA05658,1605,103,0,8,PC,MASSA S315/1 DIAM CORDÃO 8MM SEM R 0345,0.9670000000000001,-86
2699678,IJ-137,SA16026,4204,104,0,24,PC,MASSA F420/191,2.2510000000000003,-88
2699182,IJ-137,SA05003,212,0,0,8,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.678,-89
2699182,IJ-137,SA05003,412,0,0,4,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.339,-90
2699182,IJ-137,SA05003,912,0,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-91
2699182,IJ-137,SA05003,6468,60,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-92
2699182,IJ-137,SA05003,4546,2,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-93
2699182,IJ-137,SA05003,1956,0,0,4,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.339,-94
2699678,IJ-137,SA16026,1544,20,0,20,PC,MASSA F420/191,2.563,-95
2699676,IJ-137,SA16021,3478,138,0,20,PC,MASSA F420/191,2.7800000000000002,-96
2699676,IJ-137,SA16021,1352,0,0,8,PC,MASSA F420/191,1.112,-97
2699676,IJ-137,SA16021,984,0,0,12,PC,MASSA F420/191,1.6680000000000001,-98
2699676,IJ-137,SA16021,3685,111,0,12,PC,MASSA F420/191,1.6680000000000001,-99
2699676,IJ-137,SA16021,2240,4,0,12,PC,MASSA F420/191,1.6680000000000001,-100
2700485,IJ-137,SA05003,1828,0,0,8,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.895,-101
2700485,IJ-137,SA05003,953,447,0,4,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.339,-102
2701236,IJ-137,SA16021,1388,0,0,16,PC,MASSA F420/191,2.007,-106
2701236,IJ-137,SA16021,2018,26,0,12,PC,MASSA F420/191,1.6680000000000001,-107
2701236,IJ-137,SA16021,1208,0,0,4,PC,MASSA F420/191,0.556,-108
2701236,IJ-137,SA16021,2776,0,0,12,PC,MASSA F420/191,1.6680000000000001,-109
2701236,IJ-137,SA16021,871,69,0,8,PC,MASSA F420/191,1.112,-110
2701236,IJ-137,SA16021,12,0,0,4,PC,MASSA F420/191,0.556,-113
2701236,IJ-137,SA16021,92,0,0,4,PC,MASSA F420/191,0.556,-114
2701236,IJ-137,SA16021,5365,63,0,16,PC,MASSA F420/191,2.026,-116
2701175,IJ-137,SA05003,4193,323,0,20,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.846,-117
2701175,IJ-137,SA05003,1084,176,0,8,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.678,-118
2701175,IJ-137,SA05003,526,4,0,8,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.829,-119
2701175,IJ-137,SA05003,4620,0,0,20,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,2.148,-120
2701175,IJ-137,SA05003,5632,284,0,16,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.356,-121
2701175,IJ-137,SA05003,3304,172,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-122
2701175,IJ-137,SA05003,5302,358,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-123
2701175,IJ-137,SA05003,200,0,0,8,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.678,-124
2701175,IJ-137,SA05003,2915,53,0,8,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.678,-125
2701175,IJ-137,SA05003,848,0,0,4,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,0.339,-126
2701175,IJ-137,SA05003,4100,404,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-127
2701175,IJ-137,SA05003,7912,264,0,12,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,1.0170000000000001,-128
