Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2698534,IJ-151,SA01917,1471,11,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,7.050000000000001,1471,11,0,3,7.050000000000001,-79
2698692,IJ-151,SA05933,1293,17,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,5.26,2764,28,0,6,12.31,-80
2698534,IJ-151,SA01917,1209,37,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,7.050000000000001,3973,65,0,9,19.36,-81
2698601,IJ-151,SA02115,836,26,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,6.8100000000000005,4809,91,0,12,26.17,-82
2698601,IJ-151,SA02115,745,14,0,5,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,4.91,5554,105,0,17,31.080000000000002,-83
2698583,IJ-151,SA07021,713,4,0,2,PC,P250/14,1.34,6267,109,0,19,32.42,-84
2698583,IJ-151,SA07021,35,3,0,2,PC,P250/14,1.34,6302,112,0,21,33.760000000000005,-85
2698583,IJ-151,SA07021,982,15,0,4,PC,P250/14,8.770000000000001,7284,127,0,25,42.53000000000001,-86
2698790,IJ-151,SA07320,1188,38,0,4,PC,P250/14,8.8,8472,165,0,29,51.33000000000001,-87
2698745,IJ-151,SA08457,1336,32,0,4,PC,P250/14,2.8,9808,197,0,33,54.13000000000001,-88
2698745,IJ-151,SA08457,1280,18,0,3,PC,P250/14,2.0999999999999996,11088,215,0,36,56.23000000000001,-89
2698745,IJ-151,SA08457,1209,18,0,4,PC,P250/14,2.8,12297,233,0,40,59.03000000000001,-90
2698745,IJ-151,SA08457,942,12,0,2,PC,P250/14,1.4,13239,245,0,42,60.43000000000001,-91
2698745,IJ-151,SA08457,828,13,0,3,PC,P250/14,2.0999999999999996,14067,258,0,45,62.53000000000001,-93
2698745,IJ-151,SA08457,1312,15,0,3,PC,P250/14,2.0999999999999996,15379,273,0,48,64.63000000000001,-94
2698745,IJ-151,SA08457,1212,22,0,4,PC,P250/14,1.9,16591,295,0,52,66.53000000000002,-95
2699646,IJ-151,SA02930,1280,20,0,3,PC,P250/14,1.2000000000000002,17871,315,0,55,67.73000000000002,-96
2699646,IJ-151,SA02930,1303,15,0,4,PC,P250/14,1.6,19174,330,0,59,69.33000000000001,-97
2699646,IJ-151,SA02930,813,0,0,2,PC,P250/14,0.8,19987,330,0,61,70.13000000000001,-98
2699646,IJ-151,SA02930,132,8,0,2,PC,P250/14,0.8,20119,338,0,63,70.93,-99
2699646,IJ-151,SA02930,1338,17,0,3,PC,P250/14,1.2000000000000002,21457,355,0,66,72.13000000000001,-100
2699646,IJ-151,SA02930,1142,19,0,3,PC,P250/14,1.2000000000000002,22599,374,0,69,73.33000000000001,-101
2699646,IJ-151,SA02930,676,28,0,4,PC,P250/14,3.56,23275,402,0,73,76.89000000000001,-102
2700261,IJ-151,SA05876,715,39,0,5,PC,F424/40 MARROM,2.55,23990,441,0,78,79.44000000000001,-103
2700376,IJ-151,SA12797,1326,3,0,5,PC,F424/40 MARROM,4.01,25316,444,0,83,83.45000000000002,-104
2700376,IJ-151,SA12797,942,2,0,2,PC,F424/40 MARROM,1.75,26258,446,0,85,85.20000000000002,-105
2700376,IJ-151,SA12797,311,10,0,2,PC,F424/40 MARROM,1.75,26569,456,0,87,86.95000000000002,-106
2700376,IJ-151,SA12797,1344,8,0,3,PC,F424/40 MARROM,2.625,27913,464,0,90,89.57500000000002,-107
2700548,IJ-151,SA05974,1200,11,0,4,PC,F424/40 MARROM,3.2270000000000003,29113,475,0,94,92.80200000000002,-108
2700548,IJ-151,SA05974,1313,20,0,3,PC,F424/40 MARROM,2.3520000000000003,30426,495,0,97,95.15400000000002,-109
2700548,IJ-151,SA05974,1339,29,0,3,PC,F424/40 MARROM,2.3520000000000003,31765,524,0,100,97.50600000000003,-110
2700823,IJ-151,SA05973,1283,5,0,6,PC,F424/40 MARROM,4.986,33048,529,0,106,102.49200000000003,-111
2700833,IJ-151,SA05883,777,1,0,2,PC,F424/40 MARROM,1.68,33825,530,0,108,104.17200000000004,-112
2700833,IJ-151,SA05883,265,0,0,2,PC,F424/40 MARROM,1.68,34090,530,0,110,105.85200000000005,-113
2700833,IJ-151,SA05883,1524,0,0,4,PC,F424/40 MARROM,3.36,35614,530,0,114,109.21200000000005,-114
2700833,IJ-151,SA05883,1404,0,0,3,PC,F424/40 MARROM,2.52,37018,530,0,117,111.73200000000004,-115
2701445,IJ-151,SA05964,935,41,0,5,PC,F424/40 MARROM,10.841,37953,571,0,122,122.57300000000004,-116
2701483,IJ-151,SA05970,1071,39,0,3,PC,F424/40 MARROM,2.121,39024,610,0,125,124.69400000000003,-117
2701739,IJ-151,SA05954,1221,12,0,5,PC,F424/40 MARROM,3.3289999999999997,40245,622,0,130,128.02300000000002,-118
2701739,IJ-151,SA05954,756,16,0,2,PC,F424/40 MARROM,1.208,41001,638,0,132,129.23100000000002,-119
2701739,IJ-151,SA05954,263,0,0,2,PC,F424/40 MARROM,1.208,41264,638,0,134,130.43900000000002,-120
2701740,IJ-151,SA05965,1346,3,0,3,PC,F424/40 MARROM,2.607,42610,641,0,137,133.04600000000002,-121
