Data de Produção,Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs)
2023-08-21,2680830,IJ-044,SA08395,239,4,0,1,PC,N-142/67,2.869
2023-08-21,2680830,IJ-044,SA08395,158,6,0,1,PC,N-142/67,2.869
2023-08-21,2680830,IJ-044,SA08395,471,11,0,1,PC,N-142/67,2.869
2023-08-22,2680830,IJ-044,SA08395,479,3,0,1,PC,N-142/67,2.869
2023-08-22,2680830,IJ-044,SA08395,97,3,0,1,PC,N-142/67,2.869
2023-08-22,2680830,IJ-044,SA08395,399,4,0,1,PC,N-142/67,2.869
2023-08-22,2681836,IJ-044,SA08400,39,5,0,1,PC,N148/18,0.55
2023-08-23,2680534,IJ-044,SA07321,97,0,0,1,PC,N148/18,1.9
2023-08-23,2680534,IJ-044,SA07321,368,7,0,1,PC,N148/18,1.9
2023-08-23,2681836,IJ-044,SA08400,337,39,0,1,PC,N148/18,0.55
2023-08-24,2680534,IJ-044,SA07321,231,2,0,1,PC,N148/18,1.9
2023-08-24,2680534,IJ-044,SA07321,521,7,0,1,PC,N148/18,1.9
2023-08-24,2680534,IJ-044,SA07321,155,9,0,1,PC,N148/18,1.9
2023-08-25,2680534,IJ-044,SA07321,237,0,0,1,PC,N148/18,1.9
2023-08-25,2680534,IJ-044,SA07321,489,6,0,1,PC,N148/18,1.9
2023-08-25,2680830,IJ-044,SA08395,135,10,0,1,PC,N-142/67,2.869
2023-08-25,2680830,IJ-044,SA08395,39,0,0,1,PC,N-142/67,2.869
2023-08-25,2680830,IJ-044,SA08395,133,0,0,1,PC,N-142/67,2.869
2023-08-27,2680830,IJ-044,SA08395,163,1,0,1,PC,N-142/67,2.869
2023-08-28,2680830,IJ-044,SA08395,89,0,0,1,PC,N-142/67,2.869
2023-08-28,2680830,IJ-044,SA08395,203,3,0,1,PC,N-142/67,2.869
2023-08-28,2682010,IJ-044,SA01801,213,11,0,1,PC,N146/9,1.59
2023-08-28,2682010,IJ-044,SA01801,248,2,0,1,PC,N146/9,1.59
2023-08-29,2680332,IJ-044,SA02941,177,0,0,1,PC,N148/18,3.38
2023-08-29,2680332,IJ-044,SA02941,89,9,0,1,PC,N148/18,3.38
2023-08-29,2682010,IJ-044,SA01801,142,9,0,1,PC,N146/9,1.59
2023-08-29,2682010,IJ-044,SA01801,382,15,0,1,PC,N146/9,1.59
2023-08-30,2680332,IJ-044,SA02941,4,0,0,1,PC,N148/18,3.38
2023-08-30,2680332,IJ-044,SA02941,1,0,0,1,PC,N148/18,3.38
2023-08-30,2680332,IJ-044,SA02941,305,13,0,1,PC,N148/18,3.38
2023-08-31,2680332,IJ-044,SA02941,210,7,0,1,PC,N148/18,3.38
2023-08-31,2680332,IJ-044,SA02941,34,0,0,1,PC,N148/18,3.38
2023-08-31,2680332,IJ-044,SA02941,505,8,0,1,PC,N148/18,3.38
2023-09-01,2680332,IJ-044,SA02941,89,3,0,1,PC,N148/18,3.38
2023-09-08,2680332,IJ-044,SA02941,170,7,0,1,PC,N148/18,3.38
2023-09-08,2680332,IJ-044,SA02941,365,0,0,1,PC,N148/18,3.38
2023-09-08,2680332,IJ-044,SA02941,188,3,0,1,PC,N148/18,3.38
2023-09-10,2680332,IJ-044,SA02941,138,4,0,1,PC,N148/18,3.38
2023-09-11,2680332,IJ-044,SA02941,132,8,0,1,PC,N148/18,3.38
2023-09-11,2680332,IJ-044,SA02941,423,4,0,1,PC,N148/18,3.38
2023-09-11,2680332,IJ-044,SA02941,415,6,0,1,PC,N148/18,3.38
2023-09-12,2680332,IJ-044,SA02941,197,7,0,1,PC,N148/18,3.38
2023-09-12,2680332,IJ-044,SA02941,256,7,0,1,PC,N148/18,3.38
2023-09-12,2680332,IJ-044,SA02941,412,3,0,1,PC,N148/18,3.38
2023-09-13,2680332,IJ-044,SA02941,184,4,0,1,PC,N148/18,3.38
2023-09-13,2680332,IJ-044,SA02941,322,12,0,1,PC,N148/18,3.38
2023-09-13,2680332,IJ-044,SA02941,369,9,0,1,PC,N148/18,3.38
2023-09-14,2680332,IJ-044,SA02941,26,0,0,1,PC,N148/18,3.38
2023-09-14,2680332,IJ-044,SA02941,398,2,0,1,PC,N148/18,3.38
2023-09-14,2680332,IJ-044,SA02941,351,8,0,1,PC,N148/18,3.38
2023-09-15,2680332,IJ-044,SA02941,189,6,0,1,PC,N148/18,3.38
2023-09-15,2680332,IJ-044,SA02941,421,8,0,1,PC,N148/18,3.38
2023-09-15,2680332,IJ-044,SA02941,179,0,0,1,PC,N148/18,3.38
2023-09-17,2680332,IJ-044,SA02941,54,0,0,1,PC,N148/18,3.38
2023-09-17,2683450,IJ-044,SA02941,122,3,0,1,PC,N148/18,3.38
2023-09-18,2683450,IJ-044,SA02941,20,0,0,1,PC,N148/18,3.38
2023-09-18,2683450,IJ-044,SA02941,438,3,0,1,PC,N148/18,3.38
2023-09-18,2683450,IJ-044,SA02941,24,0,0,1,PC,N148/18,3.38
2023-09-18,2683450,IJ-044,SA02941,387,4,0,1,PC,N148/18,3.38
2023-09-18,2683569,IJ-044,11974,198,5,0,1,PC,N-158/3,3.154
2023-09-19,2683569,IJ-044,11974,111,1,0,1,PC,N-158/3,3.154
2023-09-19,2683569,IJ-044,11974,404,5,0,1,PC,N-158/3,3.154
2023-09-19,2683569,IJ-044,11974,243,15,0,1,PC,N-158/3,3.154
2023-09-20,2683569,IJ-044,11974,122,0,0,1,PC,N-158/3,3.154
2023-09-20,2683666,IJ-044,SA07321,196,4,0,1,PC,N148/18,1.9
2023-09-20,2683666,IJ-044,SA07321,28,2,0,1,PC,N148/18,1.9
2023-09-21,2682511,IJ-044,SA04416,248,11,0,1,PC,P212/1,5.043
2023-09-21,2683666,IJ-044,SA07321,142,6,0,1,PC,N148/18,1.9
2023-09-21,2683666,IJ-044,SA07321,108,3,0,1,PC,N148/18,1.9
2023-09-22,2682511,IJ-044,SA04416,56,0,0,1,PC,P212/1,5.043
2023-09-22,2682511,IJ-044,SA04416,184,2,0,1,PC,P212/1,5.043
2023-09-23,2682511,IJ-044,SA04416,75,0,0,1,PC,P212/1,5.043
2023-09-23,2682511,IJ-044,SA04416,168,1,0,1,PC,P212/1,5.043
2023-09-23,2682511,IJ-044,SA04416,25,1,0,1,PC,P212/1,5.043
2023-09-25,2682511,IJ-044,SA04416,42,2,0,1,PC,P212/1,5.043
2023-09-25,2682511,IJ-044,SA04416,255,0,0,1,PC,P212/1,5.043
2023-09-25,2682511,IJ-044,SA04416,293,10,0,1,PC,P212/1,5.043
2023-09-26,2682511,IJ-044,SA04416,148,5,0,1,PC,P212/1,5.043
2023-09-26,2682511,IJ-044,SA04416,261,0,0,1,PC,P212/1,5.043
2023-09-26,2682511,IJ-044,SA04416,205,5,0,1,PC,P212/1,5.043
