Data de Produção Acumulada,Cod. Ordem,Cod Recurso,Cod Produto,Qt. Total Acumulada Produzida até a data específica,Qt. Acumulada Refugada até a data específica,Qtd. Acumulada total Retrabalhada até a data específica,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo total de Massa Acumulada,Tempo Restante para Manutenção
2023-04-09,4965745,IJ-118,SA02004,292,46,29,1.0,PC,P212/1,1.410608179293039,-625
2023-05-15,1285991,IJ-118,SA02961,320,52,17,1.0,PC,P212/1,0.9486025586635223,-589
2023-04-28,6954510,IJ-117,SA02004,250,48,27,1.0,PC,P212/1,1.238862986084553,-606
2023-04-21,1561279,IJ-117,SA02961,419,86,29,1.0,PC,N-142/67,1.4186507505705244,-613
2023-09-13,5371755,IJ-046,SA05780,246,83,31,1.0,PC,P212/1,1.4126636662882932,-468
2023-01-10,9571108,IJ-117,SA05780,265,26,16,1.0,PC,P212/1,0.8967784174383739,-714
2023-04-03,5868048,IJ-118,SA02961,331,36,27,1.0,PC,N-142/67,1.4691079757849668,-631
2023-01-24,4495667,IJ-117,SA02004,269,11,42,1.0,PC,P212/1,1.1332409324574022,-700
2023-01-03,5304406,IJ-046,SA02004,636,12,19,1.0,PC,N-142/67,1.2058017510438588,-721
2023-07-31,7216660,IJ-118,SA05780,160,3,6,1.0,PC,P212/1,1.0160045163686173,-512
2023-09-28,2201838,IJ-046,SA02004,228,5,23,1.0,PC,N-142/67,0.974440059491215,-453
2023-09-25,5400643,IJ-118,SA05780,632,74,34,1.0,PC,P212/1,0.6332536540963003,-456
2023-01-19,2736454,IJ-117,SA02961,406,72,15,1.0,PC,P212/1,0.6688826301854252,-705
2023-10-02,6733055,IJ-118,SA05780,779,66,35,1.0,PC,P212/1,0.538531988796024,-449
2023-01-22,9875346,IJ-046,SA02961,751,52,18,1.0,PC,N-142/67,0.8200687392857868,-702
2023-05-14,1168971,IJ-118,SA05780,803,9,45,1.0,PC,N-142/67,1.1023231906052928,-590
2023-04-02,4440202,IJ-046,SA02004,869,57,42,1.0,PC,N-142/67,0.76338151814713,-632
2023-09-29,6134396,IJ-118,SA02961,96,88,39,1.0,PC,N-142/67,0.8577848112330823,-452
2023-07-05,1820300,IJ-117,SA02961,951,47,45,1.0,PC,P212/1,0.9738966057690898,-538
2023-04-28,4491532,IJ-046,SA05780,822,63,6,1.0,PC,N-142/67,0.9704064692362496,-606
2023-08-15,1617822,IJ-046,SA02961,71,21,3,1.0,PC,N-142/67,0.8126980074468738,-497
2023-01-24,4118163,IJ-118,SA02004,343,14,48,1.0,PC,N-142/67,0.5078338194005134,-700
2023-01-05,8369218,IJ-118,SA02961,922,57,47,1.0,PC,P212/1,1.2259509170336265,-719
2023-02-04,3387502,IJ-118,SA05780,607,56,17,1.0,PC,N-142/67,1.298447525994407,-689
2023-10-11,6297207,IJ-046,SA02961,726,17,8,1.0,PC,P212/1,0.9929825293192336,-440
2023-03-22,6024859,IJ-117,SA02004,300,76,15,1.0,PC,P212/1,0.919138615709608,-643
2023-01-31,9033634,IJ-046,SA02961,318,32,9,1.0,PC,P212/1,0.5818105948114364,-693
2023-06-28,5469256,IJ-118,SA05780,626,39,47,1.0,PC,N-142/67,0.7745515594921853,-545
2023-08-27,9360456,IJ-118,SA02961,462,56,15,1.0,PC,P212/1,1.000276009420936,-485
2023-12-05,1099613,IJ-117,SA02004,428,23,36,1.0,PC,N-142/67,0.5297760767071048,-385
2023-08-21,4060880,IJ-118,SA05780,41,61,23,1.0,PC,N-142/67,0.6298324242578801,-491
2023-05-05,9805738,IJ-046,SA02004,82,6,41,1.0,PC,P212/1,1.446971203643726,-599
2023-11-09,7852034,IJ-117,SA05780,613,85,35,1.0,PC,P212/1,1.2701371208835153,-411
2023-08-29,6823433,IJ-117,SA02004,245,14,39,1.0,PC,N-142/67,1.4062407791068656,-483
2023-10-23,1724976,IJ-046,SA02961,920,74,48,1.0,PC,P212/1,0.718891534764234,-428
2023-03-05,5860763,IJ-117,SA02004,932,22,44,1.0,PC,P212/1,0.8116786984373687,-660
2023-09-15,8240696,IJ-046,SA05780,677,73,20,1.0,PC,P212/1,1.1308416535094625,-466
2023-12-04,1605974,IJ-118,SA02004,70,90,38,1.0,PC,P212/1,1.122761939218611,-386
2023-09-05,2135901,IJ-118,SA02004,159,59,24,1.0,PC,N-142/67,0.9912195787751126,-476
2023-07-18,9416375,IJ-046,SA02961,86,30,13,1.0,PC,N-142/67,1.2385704684122043,-525
2023-04-27,8546754,IJ-046,SA05780,701,55,48,1.0,PC,P212/1,0.723491495980254,-607
2023-05-02,9257737,IJ-117,SA05780,498,12,1,1.0,PC,P212/1,1.4098460892378926,-602
2023-12-04,9186114,IJ-118,SA02961,696,71,13,1.0,PC,N-142/67,0.5185593235862734,-386
