Data de Produção Acumulada,Cod. Ordem,Cod Recurso,Cod Produto,Qt. Total Acumulada Produzida até a data específica,Qt. Acumulada Refugada até a data específica,Qtd. Acumulada total Retrabalhada até a data específica,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo total de Massa Acumulada,Tempo Restante para Manutenção
2023-09-08,4458603,IJ-117,SA02961,87,98,14,1.0,PC,P212/1,0.9093547302899979,-157
2023-08-01,7625166,IJ-046,SA05780,819,1,8,1.0,PC,N-142/67,0.7965436691478477,-195
2023-09-12,1747740,IJ-046,SA05780,84,74,4,1.0,PC,N-142/67,0.6860852251333761,-153
2023-03-20,1479250,IJ-118,SA05780,868,19,47,1.0,PC,P212/1,1.222123894590051,-329
2023-08-12,3915602,IJ-118,SA02961,95,69,25,1.0,PC,N-142/67,0.7530435493771537,-184
2023-05-13,5847762,IJ-118,SA02961,85,18,32,1.0,PC,P212/1,0.5187362826549293,-275
2023-03-05,1245131,IJ-046,SA02961,56,32,40,1.0,PC,N-142/67,0.8764176503537355,-344
2023-01-14,1422159,IJ-118,SA02004,720,83,47,1.0,PC,N-142/67,1.3911348182594632,-394
2023-05-25,4860431,IJ-118,SA05780,913,99,22,1.0,PC,P212/1,0.5198522629880239,-263
2023-05-09,8888895,IJ-118,SA02961,182,90,25,1.0,PC,P212/1,1.405655387734468,-279
2023-02-25,6699338,IJ-046,SA02961,323,24,44,1.0,PC,P212/1,0.6805790626282877,-352
2023-04-02,1150263,IJ-117,SA02004,970,46,8,1.0,PC,N-142/67,0.8373812366462791,-316
2023-02-19,8840197,IJ-046,SA02961,116,11,21,1.0,PC,N-142/67,0.8290678886906481,-358
2023-01-29,3725747,IJ-046,SA02004,156,91,6,1.0,PC,N-142/67,1.4227483123266222,-379
2023-07-02,4057306,IJ-117,SA05780,352,79,41,1.0,PC,P212/1,1.1967412343379547,-225
2023-04-21,9199241,IJ-117,SA02004,380,32,17,1.0,PC,N-142/67,0.7956254022855163,-297
2023-07-28,4883954,IJ-117,SA02004,450,65,38,1.0,PC,N-142/67,1.2872693878357242,-199
2023-01-07,5001469,IJ-117,SA02961,98,73,34,1.0,PC,N-142/67,1.276169103039285,-401
2023-06-08,6632238,IJ-118,SA02004,906,47,36,1.0,PC,N-142/67,1.0929255482970244,-249
2023-05-09,9374975,IJ-117,SA02004,52,49,13,1.0,PC,P212/1,0.5913173158303618,-279
2023-08-23,8241258,IJ-117,SA02961,281,6,31,1.0,PC,P212/1,1.2062397094220265,-173
2023-03-10,6451885,IJ-117,SA05780,164,52,17,1.0,PC,P212/1,0.5962771363148555,-339
2023-07-20,8117222,IJ-046,SA05780,945,81,2,1.0,PC,P212/1,0.8126053244782245,-207
2023-03-11,5396589,IJ-117,SA05780,483,57,39,1.0,PC,P212/1,1.1679626154049383,-338
2023-12-18,1121905,IJ-117,SA02004,321,57,7,1.0,PC,P212/1,1.1905474343849654,-56
2023-01-07,5196830,IJ-117,SA02004,214,41,19,1.0,PC,N-142/67,0.5302556801793415,-401
2023-06-26,6459897,IJ-046,SA02961,959,96,22,1.0,PC,P212/1,0.9217383620243406,-231
2023-11-11,2722888,IJ-046,SA02004,954,73,45,1.0,PC,N-142/67,0.510384213349999,-93
2023-07-17,3118800,IJ-046,SA02004,947,94,36,1.0,PC,N-142/67,0.7755772265928761,-210
2023-08-01,3388244,IJ-118,SA02004,327,33,16,1.0,PC,N-142/67,0.6438657788797184,-195
2023-05-14,1451875,IJ-046,SA05780,664,35,14,1.0,PC,N-142/67,1.2987333606626583,-274
2023-09-04,1978808,IJ-118,SA02961,118,84,25,1.0,PC,N-142/67,1.0953314982430764,-161
2023-09-20,1177848,IJ-117,SA05780,293,56,41,1.0,PC,P212/1,0.9862281593576138,-145
2023-10-02,3169415,IJ-118,SA02961,672,10,36,1.0,PC,P212/1,0.5906307912361081,-133
2023-05-18,8614066,IJ-117,SA02004,867,3,8,1.0,PC,N-142/67,1.2433542341426302,-270
2023-12-12,6925090,IJ-117,SA02004,192,43,28,1.0,PC,N-142/67,1.0845736650021618,-62
2023-06-17,2785004,IJ-118,SA02961,104,58,38,1.0,PC,N-142/67,1.2311835993846025,-240
2023-07-26,8727304,IJ-117,SA02004,162,10,38,1.0,PC,N-142/67,1.1928692669159795,-201
2023-03-07,1217835,IJ-046,SA02961,66,80,10,1.0,PC,N-142/67,0.6825580839469605,-342
2023-07-15,9975677,IJ-117,SA02961,878,57,33,1.0,PC,P212/1,1.1015148998388884,-212
2023-10-20,8541952,IJ-118,SA02961,862,15,4,1.0,PC,N-142/67,0.5467600397035733,-115
2023-07-09,2856093,IJ-046,SA02004,554,95,24,1.0,PC,N-142/67,0.5534281628226123,-218
2023-04-30,3597864,IJ-046,SA02961,899,62,25,1.0,PC,P212/1,1.0663490296636688,-288
2023-05-15,2499254,IJ-118,SA02004,368,45,6,1.0,PC,P212/1,1.3967144632024677,-273
2023-03-26,7347573,IJ-046,SA02004,139,57,41,1.0,PC,P212/1,1.499534631140289,-323
2023-02-04,3594011,IJ-046,SA05780,359,53,26,1.0,PC,P212/1,1.3449713809534714,-373
2023-12-04,4924267,IJ-118,SA02004,932,69,5,1.0,PC,N-142/67,1.0644311933764734,-70
2023-08-03,3049455,IJ-046,SA05780,345,50,22,1.0,PC,N-142/67,0.96898158809029,-193
2023-11-08,1898623,IJ-117,SA02961,556,21,32,1.0,PC,N-142/67,1.0073602159553277,-96
2023-02-09,6114237,IJ-046,SA02961,159,12,10,1.0,PC,P212/1,1.3318706816319756,-368
2023-09-20,6079424,IJ-117,SA02004,24,31,28,1.0,PC,P212/1,0.991625264952547,-145
2023-07-07,8151241,IJ-046,SA02004,259,86,31,1.0,PC,N-142/67,0.7923537463663236,-220
2023-10-06,3643965,IJ-118,SA02961,155,14,13,1.0,PC,N-142/67,0.8227841708298885,-129
2023-01-17,3544152,IJ-117,SA02004,18,54,16,1.0,PC,N-142/67,1.2201915194657857,-391
