Data de Produção,Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs)
2024-07-18,2627213,IJ-119,SA05075,254.0,0,0,1.0,PC,MASSA F420/95,1.5
2024-07-18,2627213,IJ-119,SA05075,592.0,8,0,1.0,PC,MASSA F420/95,1.5
2024-07-18,2627213,IJ-119,SA05075,525.0,0,0,1.0,PC,MASSA F420/95,1.5
2024-07-17,2627213,IJ-119,SA05075,71.0,0,0,1.0,PC,MASSA F420/95,1.5
2025-07-22,82781401001,IJ-119,80411,474.0,26,0,1.0,PC,P250/14,2.223
2025-07-21,82781401001,IJ-119,80411,324.0,0,0,1.0,PC,P250/14,2.223
2025-07-21,82781401001,IJ-119,80411,181.0,0,0,1.0,PC,P250/14,2.223
2024-05-27,2698509,IJ-119,SA07373,194.0,3,0,1.0,PC,F424/40 MARROM,2.33
2024-05-28,2698509,IJ-119,SA07373,432.0,11,0,1.0,PC,F424/40 MARROM,2.33
2024-05-28,2698509,IJ-119,SA07373,374.0,11,0,1.0,PC,F424/40 MARROM,2.33
2024-05-28,2698509,IJ-119,SA07373,276.0,6,0,1.0,PC,F424/40 MARROM,2.33
2024-05-29,2698509,IJ-119,SA07373,521.0,2,0,1.0,PC,F424/40 MARROM,2.33
2024-05-29,2698509,IJ-119,SA07373,379.0,7,0,1.0,PC,F424/40 MARROM,2.33
2024-05-29,2698509,IJ-119,SA07373,316.0,1,0,1.0,PC,F424/40 MARROM,2.33
2024-05-30,2698509,IJ-119,SA07373,468.0,5,0,1.0,PC,F424/40 MARROM,2.33
2024-05-30,2698509,IJ-119,SA07373,423.0,6,0,1.0,PC,F424/40 MARROM,2.33
2024-05-30,2698509,IJ-119,SA07373,298.0,9,0,1.0,PC,F424/40 MARROM,2.33
2024-05-31,2698509,IJ-119,SA07373,15.0,0,0,1.0,PC,F424/40 MARROM,2.33
2024-05-31,2698509,IJ-119,SA07373,524.0,4,0,1.0,PC,F424/40 MARROM,2.33
2024-05-31,2698509,IJ-119,SA07373,464.0,12,0,1.0,PC,F424/40 MARROM,2.33
2024-05-31,2698509,IJ-119,SA07373,285.0,1,0,1.0,PC,F424/40 MARROM,2.33
2024-06-01,2698509,IJ-119,SA07373,370.0,3,0,1.0,PC,F424/40 MARROM,2.33
2024-06-01,2698509,IJ-119,SA07373,360.0,0,0,1.0,PC,F424/40 MARROM,2.33
2024-06-04,2698509,IJ-119,SA07373,295.0,0,0,1.0,PC,F424/40 MARROM,2.33
2024-05-27,2698523,IJ-119,SA22836,29.0,0,0,1.0,PC,F424/50,0.721
2024-05-27,2698523,IJ-119,SA22836,51.0,0,0,1.0,PC,F424/50,0.721
2024-05-27,2698523,IJ-119,SA22836,449.0,10,0,1.0,PC,F424/50,0.721
2024-05-27,2698523,IJ-119,SA22836,9.0,0,0,1.0,PC,F424/50,0.721
2024-06-02,2698697,IJ-119,SA05883,0.0,1,0,1.0,PC,F424/40 MARROM,0.84
2024-06-03,2698697,IJ-119,SA05883,349.0,4,0,1.0,PC,F424/40 MARROM,0.84
2024-06-03,2698697,IJ-119,SA05883,534.0,1,0,1.0,PC,F424/40 MARROM,0.84
2024-06-04,2698697,IJ-119,SA05883,479.0,0,0,1.0,PC,F424/40 MARROM,0.84
2024-06-04,2698697,IJ-119,SA05883,332.0,1,0,1.0,PC,F424/40 MARROM,0.84
2024-06-05,2698697,IJ-119,SA05883,408.0,8,0,1.0,PC,F424/40 MARROM,0.84
2024-06-05,2698697,IJ-119,SA05883,483.0,14,0,1.0,PC,F424/40 MARROM,0.84
2024-06-05,2698697,IJ-119,SA05883,40.0,0,0,1.0,PC,F424/40 MARROM,0.84
2024-06-04,2698697,IJ-119,SA05883,294.0,1,0,1.0,PC,F424/40 MARROM,0.84
2024-06-01,2698697,IJ-119,SA05883,224.0,2,0,1.0,PC,F424/40 MARROM,0.84
2024-06-01,2698697,IJ-119,SA05883,360.0,0,0,1.0,PC,F424/40 MARROM,0.84
2024-06-03,2698697,IJ-119,SA05883,308.0,5,0,1.0,PC,F424/40 MARROM,0.84
2024-06-07,2699021,IJ-119,SA05883,309.0,0,0,1.0,PC,F424/40 MARROM,0.84
2024-06-07,2699021,IJ-119,SA05883,557.0,1,0,1.0,PC,F424/40 MARROM,0.84
2024-06-06,2699021,IJ-119,SA05883,341.0,0,0,1.0,PC,F424/40 MARROM,0.84
2024-06-06,2699021,IJ-119,SA05883,530.0,2,0,1.0,PC,F424/40 MARROM,0.84
2024-06-06,2699021,IJ-119,SA05883,554.0,1,0,1.0,PC,F424/40 MARROM,0.84
2024-06-05,2699021,IJ-119,SA05883,338.0,0,0,1.0,PC,F424/40 MARROM,0.84
2024-07-01,2699832,IJ-119,SA08396,308.0,10,0,1.0,PC,MASSA F420/96,3.954
2024-06-30,2699832,IJ-119,SA08396,259.0,2,0,1.0,PC,MASSA F420/96,3.954
2024-06-30,2699832,IJ-119,SA08396,6.0,0,0,1.0,PC,MASSA F420/96,3.954
2024-06-29,2699832,IJ-119,SA08396,374.0,8,0,1.0,PC,MASSA F420/96,3.954
2024-06-29,2699832,IJ-119,SA08396,392.0,5,0,1.0,PC,MASSA F420/96,3.954
2024-06-28,2699832,IJ-119,SA08396,10.0,0,0,1.0,PC,MASSA F420/96,3.954
2024-06-28,2699832,IJ-119,SA08396,287.0,0,0,1.0,PC,MASSA F420/96,3.954
2024-06-28,2699832,IJ-119,SA08396,446.0,10,0,1.0,PC,MASSA F420/96,3.954
2024-06-28,2699832,IJ-119,SA08396,397.0,5,0,1.0,PC,MASSA F420/96,3.954
2024-06-27,2699832,IJ-119,SA08396,193.0,0,0,1.0,PC,MASSA F420/96,3.954
2024-06-27,2699832,IJ-119,SA08396,205.0,31,0,1.0,PC,MASSA F420/96,3.954
2024-06-27,2699832,IJ-119,SA08396,415.0,23,0,1.0,PC,MASSA F420/96,3.954
2024-06-26,2699832,IJ-119,SA08396,16.0,0,0,1.0,PC,MASSA F420/96,3.954
2024-06-10,2699837,IJ-119,SA05952,115.0,0,0,1.0,PC,F424/40 MARROM,0.784
2024-06-09,2699837,IJ-119,SA05952,275.0,0,0,1.0,PC,F424/40 MARROM,0.784
2024-06-08,2699837,IJ-119,SA05952,429.0,5,0,1.0,PC,F424/40 MARROM,0.784
2024-06-08,2699837,IJ-119,SA05952,482.0,9,0,1.0,PC,F424/40 MARROM,0.784
2024-06-07,2699837,IJ-119,SA05952,14.0,0,0,1.0,PC,F424/40 MARROM,0.784
2024-06-07,2699837,IJ-119,SA05952,353.0,0,0,1.0,PC,F424/40 MARROM,0.784
2024-06-07,2699837,IJ-119,SA05952,163.0,7,0,1.0,PC,F424/40 MARROM,0.784
2024-06-10,2699839,IJ-119,SA14419,195.0,0,0,1.0,PC,F424/40 MARROM,2.882
2024-06-11,2699969,IJ-119,SA18484,29.0,0,0,1.0,PC,MASSA F420/191,4.574
2024-06-11,2699969,IJ-119,SA18484,391.0,5,0,1.0,PC,MASSA F420/191,4.574
2024-06-10,2699969,IJ-119,SA18484,254.0,2,0,1.0,PC,MASSA F420/191,4.574
2024-06-10,2699969,IJ-119,SA18484,196.0,23,0,1.0,PC,MASSA F420/191,4.574
2024-06-14,2700072,IJ-119,SA13640,180.0,3,0,1.0,PC,MASSA F420/191,1.914
2024-06-14,2700072,IJ-119,SA13640,429.0,5,0,1.0,PC,MASSA F420/191,1.914
2024-06-13,2700072,IJ-119,SA13640,282.0,0,0,1.0,PC,MASSA F420/191,1.914
2024-06-13,2700072,IJ-119,SA13640,452.0,4,0,1.0,PC,MASSA F420/191,1.914
2024-06-13,2700072,IJ-119,SA13640,464.0,10,0,1.0,PC,MASSA F420/191,1.914
2024-06-12,2700072,IJ-119,SA13640,283.0,0,0,1.0,PC,MASSA F420/191,1.914
2024-06-12,2700072,IJ-119,SA13640,353.0,9,0,1.0,PC,MASSA F420/191,1.914
2024-06-12,2700072,IJ-119,SA13640,376.0,9,0,1.0,PC,MASSA F420/191,1.914
2024-06-11,2700072,IJ-119,SA13640,49.0,6,0,1.0,PC,MASSA F420/191,1.914
2024-06-11,2700072,IJ-119,SA13640,160.0,0,0,1.0,PC,MASSA F420/191,1.914
2024-06-11,2700072,IJ-119,SA13640,61.0,6,0,1.0,PC,MASSA F420/191,1.914
2024-06-26,2700118,IJ-119,SA05776,182.0,0,0,1.0,PC,MASSA F403/32,2.25
2024-06-26,2700118,IJ-119,SA05776,457.0,13,0,1.0,PC,MASSA F403/32,2.25
2024-06-26,2700118,IJ-119,SA05776,509.0,3,0,1.0,PC,MASSA F403/32,2.25
2024-06-25,2700118,IJ-119,SA05776,332.0,0,0,1.0,PC,MASSA F403/32,2.25
2024-06-25,2700118,IJ-119,SA05776,503.0,1,0,1.0,PC,MASSA F403/32,2.25
2024-06-25,2700118,IJ-119,SA05776,448.0,13,0,1.0,PC,MASSA F403/32,2.25
2024-06-24,2700118,IJ-119,SA05776,311.0,0,0,1.0,PC,MASSA F403/32,2.25
2024-06-24,2700118,IJ-119,SA05776,431.0,22,0,1.0,PC,MASSA F403/32,2.25
2024-06-24,2700118,IJ-119,SA05776,449.0,15,0,1.0,PC,MASSA F403/32,2.25
2024-06-17,2700193,IJ-119,SA05775,284.0,8,0,1.0,PC,MASSA F420/191,0.893
2024-06-17,2700193,IJ-119,SA05775,480.0,1,0,1.0,PC,MASSA F420/191,0.893
2024-06-16,2700193,IJ-119,SA05775,244.0,21,0,1.0,PC,MASSA F420/191,0.893
2024-06-16,2700193,IJ-119,SA05775,6.0,0,0,1.0,PC,MASSA F420/191,0.893
2024-06-15,2700193,IJ-119,SA05775,315.0,0,0,1.0,PC,MASSA F420/191,0.893
2024-06-15,2700264,IJ-119,SA05353,8.0,0,0,1.0,PC,MASSA F420/191,1.225
2024-06-15,2700264,IJ-119,SA05353,471.0,1,0,1.0,PC,MASSA F420/191,1.225
2024-06-14,2700264,IJ-119,SA05353,340.0,0,0,1.0,PC,MASSA F420/191,1.225
2024-06-14,2700264,IJ-119,SA05353,187.0,0,0,1.0,PC,MASSA F420/191,1.225
2024-06-23,2700323,IJ-119,SA04247,282.0,5,0,1.0,PC,MASSA F420/191,0.975
2024-06-23,2700323,IJ-119,SA04247,7.0,0,0,1.0,PC,MASSA F420/191,0.975
2024-06-22,2700323,IJ-119,SA04247,380.0,2,0,1.0,PC,MASSA F420/191,0.975
2024-06-22,2700323,IJ-119,SA04247,466.0,1,0,1.0,PC,MASSA F420/191,0.975
2024-06-21,2700323,IJ-119,SA04247,2.0,0,0,1.0,PC,MASSA F420/191,0.975
