Data de Produção,Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Unnamed: 9,Unnamed: 10,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs)
2024-05-27,2698527,IJ-123,18454,50.0,20,0,1.0,PC,,,,
2024-05-30,2698527,IJ-123,18454,190.0,9,0,1.0,PC,,,,
2024-05-30,2698527,IJ-123,18454,445.0,0,0,1.0,PC,,,,
2024-05-29,2698527,IJ-123,18454,277.0,19,0,1.0,PC,,,,
2024-05-29,2698527,IJ-123,18454,522.0,8,0,1.0,PC,,,,
2024-05-29,2698527,IJ-123,18454,574.0,0,0,1.0,PC,,,,
2024-05-28,2698527,IJ-123,18454,316.0,5,0,1.0,PC,,,,
2024-05-28,2698527,IJ-123,18454,474.0,0,0,1.0,PC,,,,
2024-05-28,2698527,IJ-123,18454,490.0,0,0,1.0,PC,,,,
2024-05-27,2698527,IJ-123,18454,259.0,6,0,1.0,PC,,,,
2024-05-27,2698527,IJ-123,18454,309.0,13,0,1.0,PC,,,,
2024-05-27,2698527,IJ-123,18454,416.0,0,0,1.0,PC,,,,
2024-05-31,2698785,IJ-123,SA05962,2100.0,0,0,60.0,PC,,,,
2024-05-30,2698785,IJ-123,SA05962,7860.0,0,0,60.0,PC,,,,
2024-05-30,2698785,IJ-123,SA05962,7480.0,20,0,60.0,PC,,,,
2024-06-01,2698786,IJ-123,SA05874,86.0,0,0,1.0,PC,,,,
2024-05-31,2698786,IJ-123,SA05874,323.0,3,0,1.0,PC,,,,
2024-05-31,2698786,IJ-123,SA05874,372.0,1,0,1.0,PC,,,,
2024-05-31,2698786,IJ-123,SA05874,209.0,0,0,1.0,PC,,,,
2024-06-03,2698971,IJ-123,SA05253,266.0,3,0,1.0,PC,,,,
2024-06-03,2698971,IJ-123,SA05253,312.0,17,0,1.0,PC,,,,
2024-06-03,2698971,IJ-123,SA05253,509.0,0,0,1.0,PC,,,,
2024-06-02,2698971,IJ-123,SA05253,28.0,6,0,1.0,PC,,,,
2024-06-02,2698971,IJ-123,SA05253,3.0,0,0,1.0,PC,,,,
2024-06-01,2698971,IJ-123,SA05253,389.0,0,0,1.0,PC,,,,
2024-06-01,2698971,IJ-123,SA05253,284.0,0,0,1.0,PC,,,,
2024-06-06,2699013,IJ-123,SA05962,75.0,5,0,1.0,PC,,,,
2024-06-06,2699013,IJ-123,SA05962,165.0,0,0,1.0,PC,,,,
