Data de Produção,Cód. Recurso,Nome. Recurso,Classificação do Recurso,Turno,Cód. Usu. de Ini. de Trab.,Cód. Ordem,Qtd. Planejada da Ordem,Qtd. Produzida Op.,Cód. Operação,Nome Operação,Seq. Operação,Cód. Produto,Nome. Produto,Cód. Tipo Produto,Nome Tipo Produto,Cód. Família Produto,Nome Família Produto,Descrição,Cód. Un.,Fator Un.,Qtd. Produzida,Qtd. Retrabalhada,Qtd. Refugada,Velocidade Padrão,Velocidade Real,Tempo de Ciclo Padrão,Tempo de Retrabalho,Tempo de Refugo,Tempo Decorrido [hrs],OEE,OE,Performance,Qualidade,Disponibilidade,Utilização,TEEP
2023-04-05,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 2,MonitorsUser,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,39,0,0,69.99958,110.179487179487,0:00:00,0:00:00,0:00:00,1:11:37,63.53269723062602,63.53269723062602,63.53269723062602,100.0,100.0,100.0,63.53269723062602
2023-04-05,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 1,MonitorsUser,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,280,0,21,69.99958,118.928571428571,0:00:00,0:00:00,0:24:30,9:15:00,58.85885885885885,58.85885885885885,63.273273273273276,93.02325581395348,100.0,100.0,58.85885885885885
2023-04-04,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 3,MonitorsUser,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,161,0,19,69.99958,122.590062111801,0:00:00,0:00:00,0:22:10,5:28:57,54.44444444444444,54.44444444444444,63.83948928408573,89.44444444444444,95.34782608695652,95.34782608695652,54.44444444444444
2023-04-04,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 2,MonitorsUser,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,232,0,34,69.99958,120.758620689655,0:00:00,0:00:00,0:39:40,7:46:56,55.874763461207635,55.874763461207635,66.46202170188464,87.21804511278195,96.39084809908826,96.39084809908826,50.123456790123456
2023-04-04,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 1,MonitorsUser,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,223,0,25,69.99958,120.533632286996,0:00:00,0:00:00,0:29:10,7:27:59,53.99142224681793,53.99142224681793,64.58573607649095,89.91935483870968,92.96831765356946,92.96831765356946,46.87687687687688
2023-04-03,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 3,MonitorsUser,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,202,0,28,69.99958,102.475247524752,0:00:00,0:00:00,0:32:40,5:45:00,68.30917874396135,68.30917874396135,77.77777777777779,87.82608695652175,100.0,100.0,68.30917874396135
2023-04-03,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 2,MonitorsUser,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,233,0,29,69.99958,115.755364806867,0:00:00,0:00:00,0:33:50,7:29:31,55.09390622888799,55.09390622888799,67.99896184791072,88.93129770992367,91.1059316308607,91.1059316308607,50.339506172839506
2023-04-03,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 1,DCMUser,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,294,0,36,69.99958,103.397959183673,0:00:00,0:00:00,0:42:00,8:26:39,61.8018018018018,61.8018018018018,75.98934175466299,89.0909090909091,91.28828828828829,91.28828828828829,61.8018018018018
2023-04-02,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 3,DCMUser,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,125,0,15,69.99958,96.064,0:00:00,0:00:00,0:17:30,3:20:08,51.99667221297837,51.99667221297837,81.61225849433711,89.28571428571429,71.35726170667934,71.35726170667934,42.14836223506744
2023-03-31,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 2,MonitorsUser,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,264,0,13,69.99958,102.526515151515,0:00:00,0:00:00,0:15:10,7:31:07,57.03703703703704,57.03703703703704,71.63704880481767,95.30685920577618,83.54012345679013,83.54012345679013,57.03703703703704
2023-03-31,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 1,wellingtongcosta,2666953,600,2861,50,VULCANIZAR KS ACM,1,SA25229,RETENTOR 05229GRAGGH KGE ACM (K79/K80),IT,Integrado,,,,PC,1,208,0,0,69.99958,89.5,0:00:00,0:00:00,0:00:00,5:10:16,60.84158622706949,60.84158622706949,78.2122905027933,100.0,77.790313818896,77.790313818896,60.84158622706949
2023-03-21,IJ-138,IJ-138 INJETORA DE BORRACHA,Máquina,Turno 1,MonitorsUser,2670348,312,643,50,VULCANIZAR 1 CAV ACM,1,SA25673,COMPONENTE PISTA 25668,IT,Integrado,,,,PC,1,141,0,20,73.00021389,106.404255319149,0:00:00,0:00:00,0:24:20,4:10:03,55.72217410134257,55.72217410134257,78.3376658001733,87.5776397515528,81.22022520571676,81.22022520571676,55.72217410134257
