equipamento,arquivo_origem,arquivo_mtime,data_penultima_sub,data_ultima_sub,dias_em_operacao,observacoes,cil_a,cil_b,cil_c,cil_d,cil_e,cil_max,cil_min,cil_amplitude,desgaste_cil_max,fuso_a,fuso_b,fuso_c,fuso_d,fuso_max,fuso_min,fuso_amplitude,desgaste_fuso_min
IJ-044,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,26/05/2024,08/11/2025,531,,,,,,,,,,,,,,,,,,
IJ-046,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,28/01/2024,05/01/2025,343,,,,,,,,,,,,,,,,,,
IJ-117,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,10/02/2024,20/06/2025,496,,20.05,20.28,20.5,20.5,20.5,20.5,20.05,0.4499999999999993,0.5,,,,,,,,
IJ-118,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,11/02/2024,02/03/2025,385,,20.05,20.02,20.2,20.4,20.5,20.5,20.02,0.4800000000000004,0.5,19.88,19.73,19.46,18.78,19.88,18.78,1.0999999999999979,1.2199999999999989
IJ-119,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,10/02/2024,23/02/2025,379,,20.05,20.05,20.05,20.06,20.14,20.14,20.05,0.08999999999999986,0.14000000000000057,19.75,19.53,19.41,19.18,19.75,19.18,0.5700000000000003,0.8200000000000003
IJ-120,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,24/02/2024,05/04/2025,406,,20.05,20.015,20.02,20.025,20.03,20.05,20.015,0.03500000000000014,0.05000000000000071,19.49,19.51,19.58,19.52,19.58,19.49,0.08999999999999986,0.5100000000000016
IJ-121,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,25/02/2024,29/06/2025,490,,20.05,20.05,20.08,20.09,20.12,20.12,20.05,0.07000000000000028,0.120000000000001,19.8,19.65,19.53,19.49,19.8,19.49,0.3100000000000023,0.5100000000000016
IJ-122,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,24/02/2024,17/05/2025,448,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,19.8,19.81,19.87,19.87,19.87,19.8,0.07000000000000028,0.1999999999999993
IJ-123,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,11/02/2024,01/03/2025,384,,20.04,20.04,20.06,20.07,20.07,20.07,20.04,0.030000000000001137,0.07000000000000028,19.8,19.72,19.67,19.59,19.8,19.59,0.21000000000000085,0.41000000000000014
IJ-124,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,07/02/2024,04/01/2025,332,,,,,,,,,,,,,,,,,,
IJ-125,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,20/11/2023,19/12/2024,395,CSS Prime / Substituido por peça original REP,20.03,20.02,20.02,20.02,20.02,20.03,20.02,0.010000000000001563,0.030000000000001137,19.92,19.91,19.9,19.87,19.92,19.87,0.05000000000000071,0.129999999999999
IJ-129,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,25/02/2024,03/05/2025,433,,20.05,20.18,20.28,20.34,20.5,20.5,20.05,0.4499999999999993,0.5,19.82,19.59,19.41,18.5,19.82,18.5,1.3200000000000003,1.5
IJ-130,Dados Manut - 27 Equip - 2026.xlsx,2026-04-14 09:18:42.332467,18/05/2024,04/10/2025,504,CSS Prime / Substituido por peça original REP,20.04,20.01,20.02,20.02,20.02,20.04,20.01,0.029999999999997584,0.03999999999999915,20.08,20.07,20.04,20.05,20.08,20.04,0.03999999999999915,0.03999999999999915
