equipamento,janela,inicio,fim,dias_calendario,qtd_produzida,qtd_refugada,qtd_retrabalhada,massa_kg,compostos,dias_producao_distintos
IJ-044,J1_inicio_ate_penultima,27/05/2024,26/05/2024,-1,0.0,0.0,0.0,0.0,,0
IJ-044,J2_entre_trocas,26/05/2024,08/11/2025,531,358156.0,5042.0,0.0,5337.277959999999,F424/40 MARROM;F424/85;MASSA F403/32;MASSA F420/134;MASSA F420/191;MASSA F420/306;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/67;N148/18;P212/1;P248/40;P250/14,425
IJ-044,J3_pos_ultima_troca,08/11/2025,31/03/2026,143,44655.0,576.0,0.0,458.84680000000003,F424/40 MARROM;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/67;N148/18;P250/14,81
IJ-046,J1_inicio_ate_penultima,27/05/2024,28/01/2024,-120,0.0,0.0,0.0,0.0,,0
IJ-046,J2_entre_trocas,28/01/2024,05/01/2025,343,192701.0,5296.0,0.0,2083.89057,F424/40 MARROM;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/67;N146/9;N148/18;P248/40;P250/14,209
IJ-046,J3_pos_ultima_troca,05/01/2025,01/04/2026,451,600036.0,5848.0,0.0,8145.347889999999,F424/40 MARROM;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/67;N146/9;N148/18;P212/1;P248/40;P250/14,402
IJ-117,J1_inicio_ate_penultima,27/05/2024,10/02/2024,-107,0.0,0.0,0.0,0.0,,0
IJ-117,J2_entre_trocas,10/02/2024,20/06/2025,496,344518.0,8595.0,0.0,4075.2939,F424/40 MARROM;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;MASSA S316/2;N-142/67;N148/18;P250/14,367
IJ-117,J3_pos_ultima_troca,20/06/2025,01/04/2026,285,211085.0,1845.0,0.0,2736.70677,F424/40 MARROM;F424/51;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/67;N148/18;P212/1;P248/40;P250/14,248
IJ-118,J1_inicio_ate_penultima,27/05/2024,11/02/2024,-106,0.0,0.0,0.0,0.0,,0
IJ-118,J2_entre_trocas,11/02/2024,02/03/2025,385,229574.0,8056.0,0.0,2628.83023,F424/40 MARROM;F424/51;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;MASSA S316/2;N-142/67;N-184/2;N148/18;P248/40;P250/14,266
IJ-118,J3_pos_ultima_troca,02/03/2025,01/04/2026,395,337877.0,5948.0,0.0,4435.031150000001,F424/40 MARROM;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;MASSA S316/2;N-142/67;N-184/2;N146/9;N148/18;P212/1;P248/40;P250/14,353
IJ-119,J1_inicio_ate_penultima,27/05/2024,10/02/2024,-107,0.0,0.0,0.0,0.0,,0
