equipamento,total_produzido,media_producao_diaria,max_producao_diaria,total_registros,producao_acumulada,total_refugado,media_refugo_diario,total_retrabalhado,media_retrabalho_diario,consumo_massa_total_kg,consumo_massa_total_kg,media_dias_manutencao,min_dias_manutencao,max_dias_manutencao,indice_desgaste_medio,desgaste_cilindro_medio,desgaste_fuso_medio,intervalo_manutencao_dias,data_ultima_manutencao,data_penultima_manutencao,observacoes_manutencao,cilindro_max,cilindro_min,fuso_max,fuso_min,taxa_refugo_pct
IJ-044,402108.0,285.9943100995733,22360.0,1406,402108.0,5601.0,3.9836415362731152,0,0.0,2543.234,1.8088435277382646,298.4139402560455,0,672,0.0,0.0799999999999983,0.6900000000000013,531,2025-11-08,2024-05-26,,,,,,1.39
IJ-046,534422.0,316.0390301596688,23940.0,1691,534422.0,10228.0,6.048492016558249,0,0.0,2021.533,1.1954659964518035,161.77528089887642,0,365,0.0,0.07999999999999831,0.6900000000000013,343,2025-01-05,2024-01-28,,,,,,1.91
IJ-117,549846.0,280.39061703212644,25312.0,1961,549846.0,10422.0,5.314635390107088,0,0.0,2612.412,1.3321835798062212,266.1081081081081,0,531,50.00000000000001,0.5,0.6900000000000013,496,2025-06-20,2024-02-10,,20.5,20.05,,,1.9
IJ-118,536457.0,281.1619496855346,14280.0,1908,536457.0,13693.0,7.176624737945493,0,0.0,2430.041,1.2736063941299791,188.06341719077568,0,421,74.39999999999998,0.5,1.2199999999999989,385,2025-03-02,2024-02-11,,20.5,20.02,19.88,18.78,2.55
IJ-119,536846.0,270.86074672048437,1237.0,1982,536846.0,9677.0,4.882441977800202,1,0.0005045408678102926,3119.104,1.573715438950555,185.06760847628658,0,414,30.400000000000063,0.1400000000000006,0.8200000000000003,379,2025-02-23,2024-02-10,,20.14,20.05,19.75,19.18,1.8
IJ-120,871589.6,488.5591928251121,29528.0,1784,871589.6,9297.0,5.211322869955157,2,0.0011210762331838565,1782.632,0.9992331838565023,209.13508968609867,0,454,15.200000000000102,0.05000000000000071,0.5100000000000016,406,2025-04-05,2024-02-24,,20.05,20.015,19.58,19.49,1.07
IJ-121,607595.0,310.4726622381196,25620.0,1957,607595.0,8717.0,4.454266734798161,2,0.001021972406745018,3014.09,1.5401584057230455,266.7659683188554,0,539,22.20000000000013,0.120000000000001,0.5100000000000016,490,2025-06-29,2024-02-25,,20.12,20.05,19.8,19.49,1.43
IJ-122,683726.0,617.6386630532973,4116.0,1107,683726.0,7421.0,6.703703703703703,0,0.0,848.559,0.766539295392954,246.40740740740742,0,496,3.9999999999999862,0.0,0.1999999999999993,448,2025-05-17,2024-02-24,,20.0,20.0,19.87,19.8,1.09
IJ-123,574888.0,298.95371814872595,14154.0,1923,574888.0,7596.0,3.950078003120125,0,0.0,1693.198,0.8804981799271971,188.55226209048362,0,420,15.200000000000031,0.07000000000000028,0.41000000000000014,384,2025-03-01,2024-02-11,,20.07,20.04,19.8,19.59,1.32
IJ-124,668954.0,441.553795379538,10427.0,1515,668954.0,6380.0,4.211221122112211,0,0.0,1516.157,1.000763696369637,155.67392739273927,0,363,0.0,0.0799999999999983,0.6900000000000013,332,2025-01-04,2024-02-07,,,,,,0.95
IJ-125,224145.0,206.3950276243094,700.0,1086,224145.0,4567.0,4.205340699815838,0,0.0,1171.748,1.0789576427255985,185.92173112338858,8,394,5.600000000000094,0.030000000000001137,0.129999999999999,395,2024-12-19,2023-11-20,CSS Prime / Substituido por peça original REP,20.03,20.02,19.92,19.87,2.04
IJ-129,491841.0,242.76456071076012,3120.0,2026,491841.0,13453.0,6.640177690029615,0,0.0,3224.665,1.5916411648568607,228.65597235932873,0,482,80.0,0.5,1.5,433,2025-05-03,2024-02-25,,20.5,20.05,19.82,18.5,2.74
IJ-130,20822.0,179.5,384.0,116,20822.0,276.0,2.3793103448275863,0,0.0,282.518,2.4354999999999998,316.7068965517241,22,497,3.199999999999932,0.03999999999999915,-0.03999999999999915,504,2025-10-04,2024-05-18,CSS Prime / Substituido por peça original REP,20.04,20.01,20.08,20.04,1.33
IJ-131,812986.0,441.84021739130435,41580.0,1840,812986.0,7285.0,3.9592391304347827,0,0.0,2400.156,1.3044326086956521,177.25760869565218,1,405,5.299999999999869,0.004999999999999005,0.23999999999999844,356,2025-02-15,2024-02-25,,20.005,20.0,19.81,19.76,0.9
IJ-132,3979928.0,3758.1945231350333,19224.0,1059,3979928.0,27296.0,25.775259678942398,0,0.0,206.505,0.195,217.65816808309725,1,460,10.800000000000054,0.05000000000000071,0.28999999999999915,419,2025-04-12,2024-02-18,,20.05,20.005,19.82,19.71,0.69
