equipamento,data_penultima_efetiva,data_ultima_efetiva,dias_em_operacao_efetivo,datas_historicas_completas,intervalos_dias_consecutivos,media_intervalos_dias,n_preventivas_total,n_preventivas_passadas,ultima_preventiva_passada,proxima_preventiva_agendada,dias_desde_ultima_preventiva,intervalo_medio_passado,intervalo_ultimo_passado,desvio_padrao_intervalo_passado,tendencia_intervalo_passado,data_ref,data_prescrita,dias_restantes,urgencia,t_base_dias,fator_desgaste,fator_massa,dias_ociosidade,t_prescrito_dias,data_ultima_sub,formulas
IJ-044,26/05/2024,08/11/2025,531.0,20/05/2023 | 22/05/2024 | 26/12/2025 | 03/05/2027 | 23/10/2028,368 | 583 | 493 | 539,495.75,5.0,3.0,26/12/2025,03/05/2027,122.0,475.5,583.0,107.5,214.99999999999994,27/04/2026,28/11/2027,580.0,OK,555.0,1.0,1.3,28.0,721.5,08/11/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-046,28/01/2024,05/01/2025,343.0,20/12/2023 | 05/01/2025 | 01/07/2026 | 23/12/2027,382 | 542 | 540,488.0,4.0,2.0,05/01/2025,01/07/2026,477.0,382.0,382.0,0.0,0.0,27/04/2026,29/09/2025,-210.0,ATRASADO,343.0,1.0,0.7,27.0,240.1,05/01/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-117,10/02/2024,20/06/2025,496.0,25/02/2019 | 05/08/2020 | 18/02/2023 | 13/02/2024 | 30/06/2025 | 12/12/2026 | 04/06/2028,527 | 927 | 360 | 503 | 530 | 540,564.5,7.0,5.0,30/06/2025,12/12/2026,301.0,579.25,503.0,210.6802968955569,-212.00000000000003,27/04/2026,23/04/2027,361.0,OK,496.0,1.0,1.3,27.0,644.8,20/06/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-118,11/02/2024,02/03/2025,385.0,27/12/2018 | 05/08/2020 | 28/06/2022 | 06/02/2024 | 01/03/2025 | 24/08/2026 | 15/02/2028,587 | 692 | 588 | 389 | 541 | 540,556.1666666666666,7.0,5.0,01/03/2025,24/08/2026,422.0,564.0,389.0,109.67451846258547,-151.49999999999991,27/04/2026,24/12/2025,-124.0,ATRASADO,385.0,1.0,0.7,27.0,269.5,02/03/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-119,10/02/2024,23/02/2025,379.0,02/06/2018 | 11/07/2019 | 06/07/2020 | 18/02/2023 | 13/02/2024 | 22/02/2025 | 22/08/2026 | 13/02/2028,404 | 361 | 957 | 360 | 375 | 546 | 540,506.14285714285717,8.0,6.0,22/02/2025,22/08/2026,429.0,491.4,375.0,233.34146652491924,-291.0000000000001,27/04/2026,21/12/2025,-127.0,ATRASADO,379.0,1.0,0.7217,27.0,273.5,23/02/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-120,24/02/2024,05/04/2025,406.0,24/02/2019 | 20/03/2020 | 08/03/2021 | 13/02/2023 | 24/02/2024 | 30/04/2025 | 28/09/2026 | 20/03/2028,390 | 353 | 707 | 376 | 431 | 516 | 539,473.14285714285717,8.0,6.0,30/04/2025,28/09/2026,362.0,451.4,431.0,130.29597077423384,-137.99999999999991,27/04/2026,17/04/2026,-10.0,ATRASADO,406.0,1.0,0.8625,27.0,350.2,05/04/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-121,25/02/2024,29/06/2025,490.0,10/09/2022 | 25/02/2024 | 22/06/2025 | 21/12/2026 | 12/06/2028,533 | 483 | 547 | 539,525.5,5.0,3.0,22/06/2025,21/12/2026,309.0,508.0,483.0,25.0,-50.00000000000014,27/04/2026,29/10/2026,185.0,OK,490.0,1.0,0.9383,27.0,459.8,29/06/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-122,24/02/2024,17/05/2025,448.0,27/03/2019 | 05/08/2020 | 29/06/2022 | 24/02/2024 | 31/05/2025 | 09/11/2026 | 01/05/2028,497 | 693 | 605 | 462 | 527 | 539,553.8333333333334,7.0,5.0,31/05/2025,09/11/2026,331.0,564.25,462.0,91.12457132958157,-115.50000000000001,27/04/2026,17/01/2027,265.0,OK,448.0,1.0,1.3,28.0,582.4,17/05/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-123,11/02/2024,01/03/2025,384.0,26/04/2019 | 13/07/2020 | 08/09/2022 | 14/02/2024 | 31/03/2025 | 24/08/2026 | 14/02/2028,444 | 787 | 524 | 411 | 511 | 539,536.0,7.0,5.0,31/03/2025,24/08/2026,392.0,541.5,411.0,147.57455742776258,-187.99999999999997,27/04/2026,16/04/2026,-11.0,ATRASADO,384.0,1.0,1.0,27.0,384.0,01/03/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-124,07/02/2024,04/01/2025,332.0,27/10/2018 | 05/09/2019 | 06/06/2021 | 08/09/2022 | 07/02/2024 | 31/01/2025 | 01/07/2026 | 23/12/2027,313 | 640 | 459 | 517 | 359 | 516 | 540,477.7142857142857,8.0,6.0,31/01/2025,01/07/2026,451.0,457.6,359.0,116.13027167797378,-49.99999999999995,27/04/2026,20/09/2025,-219.0,ATRASADO,332.0,1.0,0.7,27.0,232.4,04/01/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
