equipamento,data_ultima_sub,dias_operacao_mediana_hist,cil_amplitude_atual,cil_amplitude_mediana_hist,fuso_amplitude_atual,fuso_amplitude_mediana_hist,fator_desgaste,massa_kg_janela_atual,massa_kg_mediana_prev,fator_massa,t_base_dias,t_prescrito_dias,dias_ociosidade,data_prescrita,data_ref,dias_restantes,urgencia
IJ-124,04/01/2025,332.0,,,,,1.0,4840.48,2778.94,0.7,332.0,232.4,22.0,15/09/2025,22/04/2026,-219,ATRASADO
IJ-046,05/01/2025,343.0,,,,,1.0,8145.35,2083.89,0.7,343.0,240.1,22.0,24/09/2025,22/04/2026,-210,ATRASADO
IJ-125,19/12/2024,416.5,0.0100000000000015,0.0100000000000015,0.0500000000000007,0.0500000000000007,1.0,1541.04,945.02,0.7,416.5,291.5,22.0,29/10/2025,22/04/2026,-175,ATRASADO
IJ-131,15/02/2025,356.0,0.004999999999999,0.004999999999999,0.0499999999999971,0.0499999999999971,1.0,6796.25,3550.29,0.7,356.0,249.2,22.0,13/11/2025,22/04/2026,-160,ATRASADO
IJ-139,08/02/2025,342.0,0.0399999999999991,0.0399999999999991,0.2100000000000008,0.2100000000000008,1.0,1792.57,1497.07,0.8352,342.0,285.6,22.0,13/12/2025,22/04/2026,-130,ATRASADO
IJ-119,23/02/2025,379.0,0.0899999999999998,0.0899999999999998,0.5700000000000003,0.5700000000000003,1.0,4902.88,3538.51,0.7217,379.0,273.5,22.0,16/12/2025,22/04/2026,-127,ATRASADO
IJ-118,02/03/2025,385.0,0.4800000000000004,0.4800000000000004,1.099999999999998,1.099999999999998,1.0,4435.03,2628.83,0.7,385.0,269.5,22.0,19/12/2025,22/04/2026,-124,ATRASADO
IJ-155 (Inferior),08/03/2025,357.0,0.0,0.0,0.0399999999999991,0.0399999999999991,1.0,0.0,,1.0,357.0,357.0,,28/02/2026,22/04/2026,-53,ATRASADO
IJ-155 (Superior),08/03/2025,357.0,0.0,0.0,0.0899999999999998,0.0899999999999998,1.0,0.0,,1.0,357.0,357.0,,28/02/2026,22/04/2026,-53,ATRASADO
IJ-123,01/03/2025,384.0,0.0300000000000011,0.0300000000000011,0.2100000000000008,0.2100000000000008,1.0,1464.79,0.0,1.0,384.0,384.0,22.0,11/04/2026,22/04/2026,-11,ATRASADO
IJ-120,05/04/2025,406.0,0.0350000000000001,0.0350000000000001,0.0899999999999998,0.0899999999999998,1.0,4304.6,3712.84,0.8625,406.0,350.2,22.0,12/04/2026,22/04/2026,-10,ATRASADO
IJ-164,27/04/2025,406.0,0.4499999999999993,0.4499999999999993,0.8599999999999994,0.8599999999999994,1.0,6046.81,5882.83,0.9729,406.0,395.0,22.0,18/06/2026,22/04/2026,57,ATENÇÃO
IJ-129,03/05/2025,433.0,0.4499999999999993,0.4499999999999993,1.3200000000000005,1.3200000000000005,1.0,3503.96,3844.47,1.0972,433.0,475.1,22.0,12/09/2026,22/04/2026,143,OK
IJ-121,29/06/2025,490.0,0.0700000000000002,0.0700000000000002,0.3100000000000023,0.3100000000000023,1.0,5112.99,4797.71,0.9383,490.0,459.8,22.0,24/10/2026,22/04/2026,185,OK
IJ-130,04/10/2025,504.0,0.0299999999999975,0.0299999999999975,0.0399999999999991,0.0399999999999991,1.0,451.66,38.54,0.7,504.0,352.8,33.0,25/10/2026,22/04/2026,186,OK
IJ-156,11/10/2025,510.0,0.5500000000000007,0.5500000000000007,1.0700000000000005,1.0700000000000005,1.0,5415.71,506.41,0.7,510.0,357.0,22.0,25/10/2026,22/04/2026,186,OK
IJ-132,12/04/2025,419.0,0.0450000000000017,0.0450000000000017,0.1099999999999994,0.1099999999999994,1.0,3255.33,4745.15,1.3,419.0,544.7,22.0,31/10/2026,22/04/2026,192,OK
