equipamento,inicio,fim,meses_no_periodo,meses_com_producao,meses_sem_producao,total_produzido,total_refugado,taxa_refugo_pct,mes_pico,pct_pico,mes_min,pct_min
IJ-044,2024-05-27,2026-03-30,23,23,0,402811.0,5618.0,1.39,2025-09,28.69,2024-05,0.33
IJ-046,2024-05-27,2026-03-31,23,23,0,792737.0,11144.0,1.41,2026-02,16.31,2024-05,0.77
IJ-117,2024-05-27,2026-03-31,23,23,0,555603.0,10440.0,1.88,2025-04,10.66,2024-05,0.99
IJ-118,2024-05-27,2026-03-31,23,23,0,567451.0,14004.0,2.47,2025-12,7.5,2024-05,0.85
IJ-119,2024-05-27,2026-03-31,23,23,0,573047.0,9852.0,1.72,2025-07,5.2,2024-05,0.96
IJ-120,2024-05-27,2026-03-31,23,23,0,904179.6,9435.0,1.04,2026-03,9.76,2024-05,0.67
IJ-121,2024-05-27,2026-03-31,23,23,0,614372.0,8736.0,1.42,2026-03,10.17,2024-05,1.0
IJ-122,2024-05-27,2026-03-30,23,23,0,687185.0,7537.0,1.1,2025-06,11.52,2026-02,0.14
IJ-123,2024-05-27,2026-03-31,23,23,0,603676.0,7676.0,1.27,2025-05,8.32,2026-03,2.92
IJ-124,2024-05-27,2026-03-31,23,23,0,823256.8,7203.0,0.87,2025-03,6.51,2024-05,0.73
IJ-125,2024-05-27,2026-03-31,23,22,1,247512.0,5460.0,2.21,2025-04,6.67,2024-12,1.0
IJ-129,2024-05-27,2026-03-31,23,23,0,504719.0,13727.0,2.72,2024-08,5.76,2024-05,0.99
IJ-130,2025-05-08,2026-03-20,11,6,5,20822.0,276.0,1.33,2025-11,43.2,2026-03,3.29
IJ-131,2024-05-27,2026-03-31,23,23,0,868941.0,7744.0,0.89,2025-07,24.62,2024-05,0.83
IJ-132,2024-05-27,2026-03-31,23,21,2,4102806.0,29112.0,0.71,2024-11,6.41,2024-05,0.92
IJ-133,2024-05-27,2026-03-31,23,23,0,1099377.0,3006.0,0.27,2025-10,7.14,2024-05,0.72
IJ-134,2024-05-27,2026-03-31,23,23,0,511366.4,8831.6,1.73,2024-08,5.26,2024-05,0.84
IJ-135,2024-05-27,2026-03-31,23,23,0,222556.0,8102.0,3.64,2024-08,7.68,2025-11,0.74
IJ-136,2024-05-27,2026-03-31,23,23,0,271540.0,5072.0,1.87,2025-07,7.21,2024-05,1.1
IJ-137,2024-05-27,2026-03-30,23,23,0,2040210.0,41409.0,2.03,2024-08,7.33,2024-05,0.96
IJ-138,2023-03-19,2026-03-31,36,36,0,449734.0,19044.0,4.23,2023-05,11.03,2024-05,0.88
IJ-139,2024-05-27,2026-03-31,23,23,0,807238.0,4774.0,0.59,2024-10,6.48,2024-05,0.33
IJ-151,2024-05-27,2026-03-31,23,23,0,544555.0,9153.0,1.68,2026-01,7.51,2024-05,1.02
IJ-152,2024-05-27,2026-01-30,21,21,0,1159129.0,15814.0,1.36,2025-07,6.21,2024-05,1.41
IJ-156,2024-05-27,2026-03-31,23,15,8,580076.0,1893.0,0.33,2026-01,59.56,2025-02,0.05
IJ-164,2024-05-27,2026-03-31,23,23,0,367213.0,13123.0,3.57,2025-03,6.08,2024-05,0.61
